"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,86.62,86.63,86.63,86.63,86.62,86.69,86.69,86.69,86.69,86.75,86.75,86.75,86.75,86.66,86.66,86.66,86.62,83.78,83.60,83.60,83.61,83.60,83.60,83.60,83.60,83.60,83.60,83.77,83.77,78.27,78.27,78.27
1991-04,85.45,85.45,85.45,85.45,85.46,85.46,85.46,85.47,85.47,85.29,85.29,85.29,85.29,85.22,85.23,85.23,85.32,82.36,82.19,82.19,82.22,82.20,82.20,82.20,82.20,82.19,82.19,82.09,82.09,76.93,76.93,76.93
1991-07,84.58,84.56,84.56,84.56,84.56,84.57,84.57,84.58,84.58,84.62,84.62,84.62,84.62,84.68,84.68,84.68,84.65,81.67,81.49,81.49,81.48,81.48,81.47,81.47,81.47,81.47,81.47,81.48,81.48,76.57,76.57,76.57
1991-10,85.62,85.64,85.64,85.64,85.64,85.66,85.66,85.63,85.63,85.63,85.63,85.63,85.63,85.72,85.72,85.72,85.70,82.98,82.81,82.81,82.80,82.84,82.84,82.84,82.84,82.84,82.84,82.75,82.75,77.59,77.59,77.59
1992-01,87.52,87.53,87.53,87.53,87.53,87.56,87.56,87.56,87.56,87.68,87.68,87.68,87.69,87.60,87.59,87.59,87.56,84.45,84.28,84.28,84.28,84.26,84.26,84.26,84.26,84.26,84.26,84.44,84.44,78.88,78.88,78.88
1992-04,86.68,86.68,86.68,86.68,86.68,86.66,86.66,86.67,86.67,86.51,86.51,86.51,86.51,86.46,86.46,86.46,86.53,83.33,83.15,83.15,83.18,83.17,83.17,83.17,83.17,83.16,83.16,83.07,83.07,77.84,77.84,77.84
1992-07,86.18,86.15,86.15,86.15,86.15,86.17,86.17,86.19,86.19,86.21,86.21,86.21,86.21,86.27,86.27,86.27,86.25,82.71,82.55,82.55,82.53,82.53,82.53,82.53,82.53,82.52,82.52,82.53,82.53,77.53,77.53,77.53
1992-10,85.72,85.67,85.67,85.67,85.67,85.68,85.68,85.65,85.65,85.71,85.71,85.71,85.71,85.80,85.80,85.80,85.78,82.64,82.47,82.47,82.46,82.50,82.50,82.50,82.50,82.50,82.50,82.41,82.41,77.30,77.30,77.30
1993-01,84.81,84.82,84.82,84.82,84.82,84.87,84.87,84.87,84.87,84.88,84.88,84.88,84.88,84.81,84.80,84.80,84.78,82.01,81.85,81.85,81.86,81.86,81.86,81.86,81.86,81.86,81.86,82.02,82.02,76.88,76.88,76.88
1993-04,84.74,84.73,84.73,84.73,84.73,84.78,84.78,84.79,84.79,84.66,84.66,84.66,84.66,84.62,84.62,84.62,84.68,81.75,81.58,81.58,81.59,81.59,81.59,81.59,81.59,81.57,81.57,81.50,81.50,76.55,76.55,76.55
1993-07,85.17,85.14,85.14,85.14,85.14,85.16,85.16,85.17,85.17,85.17,85.17,85.17,85.17,85.22,85.22,85.22,85.19,82.18,82.01,82.01,81.99,81.99,81.99,81.99,81.99,81.99,81.99,82.00,82.00,77.00,77.00,77.00
1993-10,85.59,85.53,85.53,85.53,85.53,85.49,85.49,85.46,85.46,85.55,85.55,85.55,85.55,85.63,85.63,85.63,85.62,82.67,82.50,82.50,82.48,82.53,82.53,82.53,82.53,82.52,82.52,82.42,82.42,77.17,77.17,77.17
1994-01,86.13,86.12,86.12,86.12,86.13,86.14,86.14,86.14,86.14,86.13,86.13,86.13,86.13,86.06,86.06,86.06,86.04,83.09,82.92,82.92,82.94,82.93,82.93,82.93,82.93,82.93,82.93,83.09,83.09,77.76,77.76,77.76
1994-04,86.97,86.97,86.97,86.97,86.97,86.97,86.97,86.98,86.98,86.88,86.88,86.88,86.88,86.83,86.83,86.83,86.88,83.71,83.54,83.54,83.54,83.55,83.55,83.55,83.55,83.53,83.53,83.49,83.49,78.16,78.16,78.16
1994-07,87.57,87.55,87.55,87.55,87.55,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.61,87.61,87.61,87.60,84.44,84.27,84.27,84.26,84.26,84.25,84.25,84.25,84.24,84.24,84.25,84.25,78.88,78.88,78.88
1994-10,89.13,89.08,89.08,89.08,89.08,88.98,88.98,88.96,88.96,89.04,89.04,89.04,89.04,89.11,89.11,89.11,89.10,85.94,85.76,85.76,85.74,85.80,85.80,85.80,85.80,85.81,85.81,85.69,85.69,80.50,80.50,80.50
1995-01,88.66,88.64,88.64,88.64,88.65,88.64,88.64,88.63,88.63,88.61,88.61,88.61,88.61,88.55,88.55,88.55,88.53,85.34,85.16,85.16,85.19,85.18,85.18,85.18,85.18,85.17,85.17,85.32,85.32,79.82,79.82,79.82
1995-04,89.73,89.73,89.73,89.73,89.73,89.71,89.71,89.72,89.72,89.63,89.63,89.63,89.63,89.61,89.61,89.61,89.64,86.25,86.07,86.07,86.06,86.06,86.06,86.07,86.06,86.06,86.06,86.01,86.01,80.53,80.53,80.53
1995-07,89.61,89.62,89.62,89.62,89.61,89.58,89.58,89.58,89.58,89.56,89.56,89.56,89.56,89.60,89.60,89.60,89.58,86.40,86.22,86.22,86.21,86.22,86.22,86.22,86.21,86.21,86.21,86.21,86.21,80.73,80.73,80.73
1995-10,89.78,89.80,89.80,89.80,89.79,89.78,89.78,89.77,89.77,89.83,89.83,89.83,89.83,89.88,89.88,89.88,89.88,86.45,86.28,86.28,86.27,86.32,86.32,86.32,86.32,86.31,86.31,86.20,86.20,80.92,80.92,80.92
1996-01,88.34,88.31,88.31,88.31,88.31,88.36,88.36,88.35,88.35,88.41,88.41,88.41,88.41,88.35,88.35,88.35,88.33,84.87,84.70,84.70,84.72,84.69,84.69,84.68,84.69,84.67,84.67,84.79,84.79,79.28,79.28,79.28
1996-04,90.35,90.35,90.35,90.35,90.35,90.32,90.32,90.34,90.34,90.27,90.27,90.27,90.27,90.25,90.25,90.25,90.27,86.81,86.64,86.64,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.59,86.59,80.96,80.96,80.96
1996-07,90.52,90.52,90.52,90.52,90.52,90.51,90.51,90.51,90.51,90.49,90.49,90.49,90.49,90.52,90.52,90.52,90.51,87.14,86.96,86.96,86.95,86.96,86.96,86.96,86.96,86.95,86.95,86.95,86.95,81.31,81.31,81.31
1996-10,91.72,91.74,91.74,91.74,91.74,91.79,91.79,91.78,91.78,91.83,91.83,91.83,91.83,91.86,91.86,91.86,91.87,87.99,87.81,87.81,87.81,87.85,87.85,87.85,87.85,87.85,87.85,87.76,87.76,82.34,82.35,82.34
1997-01,90.82,90.77,90.77,90.77,90.78,90.85,90.85,90.85,90.85,90.82,90.82,90.82,90.82,90.78,90.78,90.78,90.77,86.97,86.79,86.79,86.80,86.78,86.78,86.78,86.78,86.79,86.79,86.87,86.87,81.32,81.32,81.32
1997-04,92.08,92.07,92.07,92.07,92.07,92.11,92.11,92.12,92.12,92.07,92.07,92.07,92.07,92.06,92.06,92.06,92.07,88.45,88.27,88.27,88.25,88.25,88.25,88.25,88.25,88.24,88.24,88.22,88.22,82.71,82.71,82.71
1997-07,92.49,92.50,92.50,92.50,92.49,92.49,92.49,92.49,92.49,92.45,92.45,92.45,92.45,92.48,92.48,92.48,92.47,88.86,88.68,88.68,88.67,88.69,88.69,88.69,88.69,88.67,88.67,88.70,88.70,83.14,83.14,83.14
1997-10,93.89,93.89,93.89,93.89,93.89,93.92,93.92,93.91,93.91,93.95,93.95,93.95,93.95,93.99,93.99,93.99,93.99,90.21,90.02,90.02,90.04,90.07,90.07,90.07,90.07,90.07,90.07,89.97,89.97,84.41,84.41,84.41
1998-01,94.49,94.46,94.46,94.46,94.46,94.53,94.53,94.53,94.53,94.51,94.51,94.51,94.51,94.49,94.49,94.49,94.48,90.54,90.35,90.35,90.34,90.33,90.33,90.32,90.33,90.32,90.32,90.37,90.37,84.73,84.73,84.73
1998-04,93.87,93.88,93.88,93.88,93.88,93.83,93.83,93.84,93.84,93.80,93.80,93.80,93.80,93.79,93.79,93.79,93.79,90.05,89.86,89.86,89.85,89.84,89.84,89.85,89.85,89.86,89.86,89.86,89.86,84.45,84.45,84.45
1998-07,94.17,94.18,94.18,94.18,94.18,94.17,94.17,94.17,94.17,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,90.45,90.26,90.26,90.25,90.28,90.28,90.28,90.27,90.26,90.26,90.28,90.28,84.82,84.82,84.82
1998-10,94.02,93.97,93.97,93.97,93.97,93.99,93.99,93.98,93.98,94.02,94.02,94.02,94.02,94.05,94.05,94.05,94.06,90.55,90.36,90.36,90.39,90.42,90.42,90.42,90.42,90.41,90.41,90.34,90.34,84.92,84.92,84.92
1999-01,94.40,94.39,94.39,94.39,94.39,94.44,94.44,94.44,94.44,94.41,94.41,94.41,94.41,94.40,94.40,94.40,94.40,90.52,90.33,90.33,90.31,90.29,90.29,90.29,90.30,90.28,90.28,90.32,90.32,84.87,84.87,84.87
1999-04,94.57,94.58,94.58,94.58,94.58,94.63,94.63,94.64,94.64,94.63,94.63,94.63,94.64,94.62,94.62,94.62,94.62,90.90,90.72,90.72,90.70,90.71,90.71,90.72,90.71,90.71,90.71,90.71,90.71,85.36,85.36,85.36
1999-07,96.15,96.14,96.14,96.14,96.14,96.13,96.13,96.13,96.13,96.09,96.09,96.09,96.08,96.09,96.09,96.09,96.09,92.07,91.88,91.88,91.88,91.90,91.90,91.90,91.90,91.90,91.90,91.92,91.92,86.50,86.50,86.50
1999-10,97.39,97.32,97.32,97.32,97.32,97.29,97.29,97.29,97.29,97.32,97.32,97.32,97.32,97.33,97.33,97.33,97.34,93.28,93.09,93.09,93.13,93.13,93.13,93.13,93.12,93.12,93.12,93.06,93.06,87.70,87.70,87.69
2000-01,98.92,98.92,98.92,98.92,98.92,98.98,98.98,98.97,98.97,99.03,99.03,99.03,99.04,99.02,99.02,99.02,99.02,94.77,94.57,94.57,94.55,94.51,94.51,94.51,94.52,94.50,94.50,94.52,94.52,88.80,88.80,88.80
2000-04,99.92,99.94,99.94,99.94,99.94,99.91,99.91,99.91,99.91,99.91,99.91,99.91,99.92,99.90,99.90,99.90,99.89,95.70,95.50,95.50,95.50,95.50,95.50,95.50,95.50,95.51,95.51,95.50,95.50,89.64,89.64,89.64
2000-07,100.54,100.50,100.50,100.50,100.50,100.45,100.45,100.44,100.44,100.39,100.39,100.39,100.39,100.40,100.40,100.40,100.40,96.06,95.86,95.86,95.86,95.88,95.88,95.88,95.88,95.88,95.88,95.91,95.91,90.01,90.01,90.01
2000-10,100.62,100.64,100.64,100.64,100.64,100.66,100.66,100.67,100.67,100.67,100.67,100.67,100.66,100.68,100.68,100.68,100.68,96.05,95.85,95.85,95.88,95.91,95.91,95.91,95.90,95.91,95.91,95.87,95.87,90.24,90.24,90.23
2001-01,102.19,102.19,102.19,102.19,102.19,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.21,102.21,102.21,102.20,98.27,98.07,98.07,98.05,98.04,98.04,98.04,98.05,98.02,98.02,98.02,98.02,92.29,92.29,92.29
2001-04,101.65,101.68,101.68,101.68,101.68,101.64,101.64,101.63,101.63,101.66,101.66,101.66,101.66,101.64,101.64,101.64,101.64,98.05,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.82,97.82,92.07,92.07,92.07
2001-07,101.89,101.81,101.81,101.81,101.81,101.77,101.77,101.77,101.77,101.73,101.73,101.73,101.72,101.73,101.73,101.73,101.72,97.90,97.70,97.70,97.70,97.73,97.73,97.73,97.73,97.73,97.73,97.77,97.77,92.10,92.10,92.10
2001-10,102.12,102.20,102.20,102.20,102.20,102.32,102.32,102.34,102.34,102.27,102.27,102.27,102.26,102.28,102.28,102.28,102.29,98.33,98.13,98.13,98.15,98.16,98.16,98.16,98.15,98.15,98.15,98.13,98.13,92.34,92.34,92.34
2002-01,101.85,101.82,101.82,101.82,101.83,101.81,101.81,101.81,101.81,101.84,101.84,101.84,101.85,101.81,101.81,101.81,101.80,98.02,97.82,97.82,97.80,97.82,97.82,97.82,97.82,97.79,97.79,97.77,97.77,92.11,92.11,92.11
2002-04,101.65,101.70,101.70,101.70,101.70,101.69,101.69,101.68,101.68,101.72,101.72,101.72,101.73,101.71,101.71,101.71,101.71,98.26,98.06,98.06,98.06,98.05,98.05,98.05,98.05,98.05,98.05,98.03,98.03,92.18,92.18,92.18
2002-07,102.06,101.94,101.94,101.94,101.94,101.94,101.94,101.94,101.94,101.90,101.90,101.90,101.90,101.91,101.91,101.91,101.90,98.39,98.19,98.19,98.19,98.21,98.21,98.21,98.21,98.20,98.20,98.27,98.27,92.50,92.50,92.51
2002-10,101.96,102.04,102.04,102.04,102.04,102.17,102.17,102.19,102.19,102.08,102.08,102.08,102.07,102.10,102.10,102.10,102.13,98.44,98.24,98.24,98.25,98.25,98.25,98.25,98.25,98.27,98.27,98.26,98.26,92.42,92.42,92.42
2003-01,101.86,101.77,101.77,101.77,101.76,101.72,101.72,101.72,101.72,101.79,101.79,101.79,101.80,101.75,101.75,101.75,101.73,97.65,97.45,97.45,97.44,97.47,97.47,97.47,97.47,97.44,97.44,97.40,97.40,91.18,91.18,91.18
2003-04,101.02,101.13,101.13,101.13,101.12,101.08,101.08,101.06,101.06,101.08,101.08,101.08,101.09,101.08,101.08,101.08,101.07,97.24,97.04,97.04,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.02,97.02,90.92,90.92,90.92
2003-07,101.95,101.93,101.93,101.93,101.94,101.96,101.96,101.96,101.96,101.94,101.94,101.94,101.93,101.94,101.94,101.94,101.92,98.01,97.81,97.81,97.81,97.82,97.81,97.81,97.81,97.81,97.81,97.88,97.88,91.84,91.84,91.84
2003-10,102.45,102.28,102.28,102.28,102.29,102.41,102.41,102.43,102.43,102.29,102.29,102.29,102.28,102.33,102.33,102.33,102.37,98.39,98.18,98.18,98.19,98.19,98.19,98.19,98.20,98.22,98.22,98.21,98.21,92.06,92.06,92.06
