"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,158.4,158.4,158.4,158.3,159.7,159.1,159.1,159.1,160.0,160.3,160.2,159.0,160.3,160.1,160.5,163.5,83.6,,,,,,,,,,,82.80,82.80,82.80,82.80,82.80,82.80,82.40,82.40,82.40,82.40,82.50,82.50,82.50,86.02,85.89,85.89,85.96,85.96,85.89,85.89,85.89,85.89,86.57,86.57,86.58,86.58,86.64,86.64,86.64,86.64,86.51,86.53,86.53,86.53,86.46,86.46,86.46,86.46,89.51,89.51,89.51,89.51,89.52,89.52,89.52,89.52,89.52,89.53,89.53,89.53,93.699,93.700,93.700
1991-04,150.7,150.7,150.7,150.2,149.0,149.8,149.9,149.9,150.1,149.9,149.6,150.1,150.0,150.8,150.9,153.3,78.3,,,,,,,,,,,77.60,77.60,77.60,77.60,77.60,77.60,77.60,77.60,77.60,77.60,77.70,77.70,77.70,85.30,85.31,85.31,85.32,85.32,85.33,85.33,85.33,85.33,85.94,85.94,85.94,85.94,85.76,85.76,85.76,85.76,86.00,85.99,85.99,85.99,85.98,85.98,85.98,85.98,88.30,88.30,88.30,88.30,88.33,88.33,88.33,88.33,88.35,88.34,88.34,88.34,90.559,90.559,90.559
1991-07,150.6,150.6,150.6,150.4,149.4,149.5,149.7,149.7,149.9,149.4,149.9,150.5,150.7,150.6,149.6,153.9,78.7,,,,,,,,,,,78.80,78.80,78.70,78.70,78.70,78.70,78.90,78.90,78.90,78.90,78.90,78.90,78.90,87.65,87.74,87.74,87.63,87.63,87.73,87.73,87.73,87.73,85.33,85.33,85.32,85.32,85.38,85.38,85.38,85.38,85.46,85.44,85.44,85.44,85.40,85.40,85.40,85.40,88.01,88.01,88.01,88.01,88.00,88.00,88.00,88.00,87.99,88.00,88.00,88.00,90.271,90.271,90.271
1991-10,152.8,152.8,152.8,153.6,156.9,156.6,156.5,156.5,155.8,156.2,156.1,156.2,154.8,154.3,154.8,161.6,82.6,,,,,,,,,,,81.80,81.80,81.90,82.00,82.00,82.00,82.20,82.20,82.20,82.20,81.90,81.90,81.90,91.46,91.46,91.46,91.49,91.49,91.49,91.49,91.49,91.49,87.71,87.71,87.71,87.71,87.77,87.77,87.77,87.77,87.61,87.60,87.60,87.60,87.72,87.72,87.72,87.71,90.21,90.21,90.21,90.21,90.19,90.19,90.19,90.19,90.15,90.14,90.14,90.14,92.715,92.714,92.714
1992-01,162.6,162.6,162.6,162.5,164.3,163.5,163.5,163.5,165.7,166.0,165.8,164.7,165.9,166.1,166.1,169.2,86.5,86.8,86.8,86.8,87.80,86.80,,,,,,85.80,85.80,85.80,85.80,85.80,85.80,85.40,85.40,85.40,85.40,85.50,85.50,85.50,87.85,87.75,87.75,87.80,87.80,87.74,87.74,87.74,87.74,91.45,91.45,91.47,91.47,91.51,91.51,91.51,91.51,91.36,91.39,91.39,91.39,91.31,91.31,91.31,91.33,95.87,95.87,95.87,95.87,95.88,95.89,95.89,95.89,95.91,95.92,95.92,95.92,98.021,98.021,98.021
1992-04,154.2,154.2,154.2,153.7,151.9,153.2,153.2,153.2,154.0,153.6,153.3,153.8,153.8,154.7,154.6,158.1,80.8,81.0,80.8,80.9,80.70,79.70,,,,,,80.20,80.20,80.30,80.30,80.30,80.30,80.20,80.20,80.20,80.20,80.30,80.30,80.30,85.71,85.71,85.71,85.72,85.72,85.72,85.72,85.72,85.72,87.76,87.76,87.77,87.77,87.62,87.62,87.62,87.62,87.85,87.84,87.84,87.85,87.85,87.85,87.85,87.82,91.40,91.40,91.40,91.40,91.43,91.43,91.43,91.43,91.43,91.43,91.43,91.43,93.139,93.139,93.139
