"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,9.877,9.877,9.877,9.877,9.877,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.879,9.880,9.880,9.880,9.880
1991-04,9.895,9.895,9.895,9.895,9.895,9.894,9.894,9.894,9.894,9.894,9.894,9.894,9.894,9.895,9.895,9.895,9.895,9.896,9.896,9.896,9.896,9.896,9.896,9.896,9.896
1991-07,9.913,9.913,9.913,9.913,9.913,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.912,9.913,9.913,9.913,9.913,9.912,9.912,9.912,9.913
1991-10,9.974,9.974,9.974,9.974,9.974,9.973,9.973,9.973,9.973,9.973,9.973,9.973,9.973,9.972,9.972,9.972,9.972,9.970,9.970,9.970,9.970,9.970,9.970,9.970,9.970
1992-01,10.038,10.038,10.038,10.038,10.038,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.040,10.041,10.041,10.041,10.041,10.041,10.041,10.041,10.041
1992-04,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.081,10.082,10.082,10.082,10.082,10.082,10.082,10.082,10.082
1992-07,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109,10.109
1992-10,10.131,10.131,10.131,10.131,10.131,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.127,10.127,10.127,10.127,10.127,10.127,10.127,10.126
1993-01,10.146,10.146,10.146,10.146,10.146,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.149,10.150,10.150,10.150,10.150
1993-04,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.164,10.166,10.166,10.166,10.166,10.166,10.166,10.166,10.166
1993-07,10.184,10.184,10.184,10.184,10.184,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.183,10.184,10.184,10.184,10.184,10.183,10.183,10.183,10.184
1993-10,10.206,10.206,10.206,10.206,10.206,10.204,10.204,10.204,10.204,10.205,10.205,10.205,10.205,10.204,10.204,10.204,10.204,10.202,10.202,10.202,10.202,10.202,10.202,10.202,10.202
1994-01,10.297,10.297,10.297,10.297,10.297,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.299,10.300,10.300,10.300,10.300,10.300,10.300,10.300,10.300
1994-04,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.338,10.339,10.339,10.339,10.339,10.339,10.339,10.339,10.339
1994-07,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.402,10.403,10.403,10.403,10.403,10.403,10.403,10.403,10.403
1994-10,10.452,10.452,10.452,10.452,10.452,10.451,10.451,10.451,10.451,10.451,10.451,10.451,10.451,10.450,10.450,10.450,10.450,10.448,10.448,10.448,10.448,10.448,10.448,10.448,10.448
1995-01,10.476,10.476,10.476,10.476,10.476,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.478,10.479,10.479,10.479,10.478
1995-04,10.510,10.510,10.510,10.510,10.510,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.510,10.510,10.510,10.510,10.510,10.510,10.510,10.510
1995-07,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.553,10.554,10.554,10.554,10.554,10.554,10.554,10.554,10.554
1995-10,10.608,10.608,10.608,10.608,10.608,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.607,10.604,10.604,10.604,10.604,10.604,10.604,10.604,10.604
1996-01,10.666,10.666,10.666,10.666,10.666,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668,10.668
1996-04,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.757,10.758,10.758,10.758,10.758,10.758,10.758,10.758,10.758
1996-07,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.765,10.767,10.767,10.767,10.767,10.767,10.768,10.768,10.768
1996-10,10.725,10.725,10.725,10.725,10.725,10.724,10.724,10.724,10.724,10.724,10.724,10.724,10.724,10.723,10.723,10.723,10.723,10.722,10.722,10.722,10.722,10.721,10.721,10.721,10.721
1997-01,10.795,10.795,10.795,10.795,10.795,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.796,10.795,10.795,10.795,10.795,10.796,10.796,10.796,10.796
1997-04,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.814,10.815,10.815,10.815,10.815,10.815,10.815,10.815,10.816
1997-07,10.823,10.822,10.822,10.822,10.822,10.823,10.823,10.823,10.823,10.823,10.823,10.823,10.823,10.822,10.822,10.822,10.822,10.824,10.824,10.824,10.824,10.823,10.823,10.823,10.823
1997-10,10.784,10.785,10.785,10.785,10.785,10.783,10.783,10.783,10.783,10.784,10.784,10.784,10.784,10.783,10.783,10.783,10.783,10.782,10.782,10.782,10.782,10.782,10.782,10.782,10.782
1998-01,10.814,10.815,10.815,10.815,10.815,10.814,10.814,10.814,10.814,10.815,10.815,10.815,10.815,10.815,10.815,10.815,10.815,10.814,10.814,10.814,10.814,10.815,10.815,10.815,10.814
1998-04,10.870,10.869,10.869,10.869,10.869,10.871,10.871,10.871,10.871,10.870,10.870,10.870,10.870,10.871,10.871,10.871,10.871,10.872,10.872,10.872,10.872,10.872,10.872,10.872,10.872
1998-07,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.984,10.985,10.985,10.985,10.985,10.983,10.983,10.983,10.984
1998-10,11.053,11.053,11.053,11.053,11.053,11.051,11.051,11.051,11.051,11.052,11.052,11.052,11.052,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051,11.051
1999-01,11.061,11.063,11.063,11.063,11.063,11.061,11.061,11.061,11.061,11.062,11.062,11.062,11.062,11.063,11.063,11.063,11.063,11.060,11.060,11.060,11.060,11.062,11.062,11.062,11.061
1999-04,11.068,11.067,11.067,11.067,11.067,11.069,11.069,11.069,11.069,11.068,11.068,11.068,11.068,11.069,11.069,11.069,11.069,11.070,11.070,11.070,11.070,11.070,11.070,11.070,11.071
1999-07,11.132,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.131,11.130,11.130,11.130,11.130,11.131,11.131,11.131,11.131,11.129,11.129,11.129,11.129
1999-10,11.178,11.178,11.178,11.178,11.178,11.176,11.176,11.176,11.176,11.178,11.178,11.178,11.178,11.176,11.176,11.176,11.176,11.177,11.177,11.177,11.177,11.177,11.177,11.177,11.177
2000-01,11.219,11.221,11.221,11.221,11.221,11.219,11.219,11.219,11.219,11.219,11.219,11.219,11.219,11.221,11.221,11.221,11.221,11.219,11.219,11.219,11.219,11.221,11.221,11.221,11.219
2000-04,11.272,11.270,11.270,11.270,11.270,11.274,11.274,11.274,11.274,11.272,11.272,11.272,11.272,11.273,11.273,11.273,11.273,11.274,11.274,11.274,11.274,11.275,11.275,11.275,11.275
2000-07,11.286,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.284,11.284,11.284,11.284,11.284,11.284,11.284,11.284,11.282,11.282,11.282,11.282
2000-10,11.338,11.338,11.338,11.338,11.338,11.336,11.336,11.336,11.336,11.337,11.337,11.337,11.337,11.336,11.336,11.336,11.336,11.337,11.337,11.337,11.337,11.337,11.337,11.337,11.337
2001-01,11.323,11.326,11.326,11.326,11.326,11.323,11.323,11.323,11.323,11.324,11.324,11.324,11.324,11.326,11.326,11.326,11.326,11.324,11.324,11.324,11.324,11.326,11.326,11.326,11.324
2001-04,11.374,11.372,11.372,11.372,11.372,11.377,11.377,11.377,11.377,11.375,11.375,11.375,11.375,11.376,11.376,11.376,11.376,11.377,11.377,11.377,11.377,11.377,11.377,11.377,11.378
2001-07,11.382,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.379,11.378,11.378,11.378,11.378,11.378,11.378,11.378,11.378,11.376,11.376,11.376,11.376
2001-10,11.434,11.435,11.435,11.435,11.435,11.432,11.432,11.432,11.432,11.434,11.434,11.434,11.434,11.432,11.432,11.432,11.432,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.434
2002-01,11.463,11.469,11.469,11.469,11.469,11.466,11.466,11.466,11.466,11.467,11.467,11.467,11.467,11.469,11.469,11.469,11.469,11.467,11.467,11.467,11.467,11.469,11.469,11.469,11.467
2002-04,11.487,11.484,11.484,11.484,11.484,11.492,11.492,11.492,11.492,11.488,11.488,11.488,11.488,11.489,11.489,11.489,11.489,11.490,11.490,11.490,11.490,11.490,11.490,11.490,11.491
2002-07,11.515,11.511,11.511,11.511,11.511,11.512,11.512,11.512,11.512,11.511,11.511,11.511,11.511,11.510,11.510,11.510,11.510,11.510,11.510,11.510,11.510,11.508,11.508,11.508,11.509
2002-10,11.533,11.534,11.534,11.534,11.534,11.530,11.530,11.530,11.530,11.532,11.532,11.532,11.532,11.531,11.531,11.531,11.531,11.531,11.531,11.531,11.531,11.531,11.531,11.531,11.532
2003-01,11.521,11.529,11.529,11.529,11.529,11.527,11.527,11.527,11.527,11.529,11.529,11.529,11.529,11.531,11.531,11.531,11.531,11.530,11.530,11.530,11.530,11.531,11.531,11.531,11.530
2003-04,11.526,11.522,11.522,11.522,11.522,11.535,11.535,11.535,11.535,11.530,11.530,11.530,11.530,11.532,11.532,11.532,11.532,11.532,11.532,11.532,11.532,11.533,11.533,11.533,11.533
2003-07,11.537,11.530,11.530,11.530,11.530,11.534,11.534,11.534,11.534,11.532,11.532,11.532,11.532,11.532,11.532,11.532,11.532,11.531,11.531,11.531,11.531,11.530,11.530,11.530,11.530
2003-10,11.555,11.557,11.557,11.557,11.557,11.556,11.556,11.556,11.556,11.560,11.560,11.560,11.560,11.558,11.558,11.558,11.558,11.559,11.559,11.559,11.559,11.558,11.558,11.558,11.558
2004-01,11.589,11.600,11.600,11.600,11.600,11.601,11.601,11.601,11.601,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.604,11.605,11.605,11.605,11.604
2004-04,11.609,11.604,11.604,11.604,11.604,11.619,11.619,11.619,11.619,11.614,11.614,11.614,11.614,11.615,11.615,11.615,11.615,11.616,11.616,11.616,11.616,11.617,11.617,11.617,11.617
2004-07,11.632,11.631,11.631,11.631,11.631,11.638,11.638,11.638,11.638,11.636,11.636,11.636,11.636,11.637,11.637,11.637,11.637,11.636,11.636,11.636,11.636,11.635,11.635,11.635,11.635
2004-10,11.698,11.676,11.676,11.676,11.676,11.674,11.674,11.674,11.674,11.679,11.679,11.679,11.679,11.677,11.677,11.677,11.677,11.676,11.676,11.676,11.676,11.675,11.675,11.675,11.675
2005-01,11.761,11.692,11.691,11.690,11.690,11.700,11.700,11.700,11.700,11.707,11.707,11.707,11.707,11.703,11.703,11.703,11.703,11.697,11.697,11.697,11.697,11.698,11.698,11.698,11.698
2005-04,,11.765,11.721,11.714,11.714,11.738,11.738,11.738,11.738,11.749,11.749,11.749,11.749,11.745,11.745,11.745,11.745,11.740,11.740,11.740,11.740,11.742,11.742,11.742,11.742
2005-07,,,11.823,11.779,11.779,11.788,11.788,11.788,11.788,11.809,11.809,11.809,11.809,11.805,11.805,11.805,11.805,11.809,11.809,11.809,11.809,11.808,11.808,11.808,11.808
2005-10,,,,11.826,11.826,11.814,11.814,11.814,11.814,11.849,11.849,11.849,11.849,11.839,11.839,11.839,11.839,11.841,11.841,11.841,11.841,11.839,11.839,11.839,11.839
2006-01,,,,,11.821,11.826,11.820,11.846,11.846,11.840,11.840,11.840,11.840,11.823,11.823,11.823,11.823,11.818,11.818,11.818,11.818,11.820,11.820,11.820,11.820
2006-04,,,,,,11.850,11.856,11.886,11.886,11.877,11.877,11.877,11.877,11.865,11.865,11.865,11.865,11.851,11.851,11.851,11.851,11.854,11.854,11.854,11.853
2006-07,,,,,,,11.907,11.918,11.908,11.898,11.898,11.898,11.898,11.889,11.889,11.889,11.889,11.865,11.865,11.865,11.865,11.863,11.863,11.863,11.863
2006-10,,,,,,,,11.959,11.914,11.919,11.919,11.919,11.919,11.902,11.902,11.902,11.902,11.877,11.877,11.877,11.877,11.874,11.874,11.874,11.874
2007-01,,,,,,,,,11.943,11.970,11.968,11.968,11.968,11.958,11.958,11.958,11.958,11.933,11.933,11.933,11.933,11.935,11.935,11.935,11.936
