"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,384.1,384.1,384.1,384.4,383.7,383.7,383.9,383.9,383.6,383.6,383.6,383.5,383.5,383.5,383.4,203.98,204.00,204.00,203.97,203.97,204.02,204.02,204.02,204.02,204.05,204.05,204.04,204.04,203.98,203.98,203.98,203.98,204.08,204.06,204.06,204.06,204.13,204.13,204.13,204.14,206.71,206.71,206.71,206.71,206.70,206.70,206.70,206.70,206.70,206.69,206.69,206.69,205.408,205.407,205.407
1991-04,403.7,403.7,403.7,403.6,404.1,404.1,404.0,404.0,403.8,403.8,403.8,403.8,403.8,403.8,403.7,212.20,212.34,212.34,212.27,212.27,212.33,212.33,212.33,212.33,212.28,212.28,212.28,212.28,212.46,212.46,212.46,212.46,212.21,212.22,212.22,212.22,212.23,212.23,212.23,212.23,215.70,215.70,215.70,215.70,215.67,215.67,215.67,215.67,215.65,215.66,215.66,215.66,214.974,214.974,214.974
1991-07,406.5,406.5,406.5,406.6,406.5,406.5,406.4,406.4,406.9,406.9,406.9,406.9,406.9,406.9,406.8,212.95,212.93,212.93,212.92,212.92,212.91,212.91,212.91,212.91,212.91,212.91,212.92,212.92,212.86,212.86,212.86,212.86,212.81,212.83,212.83,212.83,212.87,212.87,212.87,212.86,216.51,216.51,216.51,216.51,216.52,216.52,216.52,216.52,216.53,216.52,216.52,216.52,215.343,215.343,215.343
1991-10,414.0,414.0,414.0,413.6,413.7,413.7,413.6,413.6,413.6,413.6,413.6,413.7,413.7,413.7,413.9,215.83,215.74,215.74,215.85,215.85,215.73,215.73,215.73,215.73,215.75,215.75,215.75,215.75,215.69,215.69,215.69,215.69,215.87,215.88,215.88,215.88,215.76,215.76,215.76,215.76,219.88,219.88,219.88,219.88,219.90,219.90,219.90,219.90,219.94,219.95,219.95,219.95,218.673,218.674,218.674
1992-01,421.7,421.7,421.7,422.1,421.9,421.9,422.1,422.1,421.6,421.6,421.5,421.5,421.5,421.5,421.4,222.91,222.93,222.93,222.90,222.90,222.93,222.93,222.93,222.93,222.97,222.97,222.95,222.95,222.91,222.91,222.91,222.91,223.00,222.97,222.97,222.97,223.05,223.05,223.05,223.05,226.54,226.54,226.54,226.54,226.54,226.53,226.53,226.53,226.51,226.50,226.50,226.50,225.300,225.300,225.300
1992-04,429.4,429.4,429.4,429.4,430.2,430.2,430.2,430.2,430.0,430.0,430.0,430.0,429.9,429.9,429.8,227.16,227.26,227.26,227.21,227.21,227.26,227.26,227.26,227.26,227.24,227.24,227.23,227.23,227.38,227.38,227.38,227.38,227.16,227.17,227.17,227.16,227.16,227.16,227.16,227.18,230.95,230.95,230.95,230.95,230.92,230.92,230.92,230.92,230.92,230.92,230.92,230.92,230.299,230.299,230.299
1992-07,444.4,444.4,444.4,444.5,444.8,444.8,444.7,444.7,445.2,445.3,445.3,445.3,445.3,445.3,445.2,233.69,233.66,233.66,233.65,233.65,233.65,233.65,233.65,233.65,233.63,233.63,233.67,233.67,233.59,233.59,233.59,233.59,233.57,233.58,233.58,233.58,233.61,233.61,233.61,233.59,237.96,237.96,237.96,237.96,237.96,237.96,237.96,237.96,237.96,237.96,237.96,237.96,236.721,236.721,236.721
1992-10,442.9,442.9,442.9,442.4,442.4,442.4,442.3,442.3,442.5,442.5,442.5,442.5,442.5,442.6,442.8,232.33,232.22,232.22,232.32,232.32,232.23,232.23,232.23,232.23,232.24,232.24,232.24,232.24,232.17,232.17,232.17,232.17,232.35,232.35,232.35,232.35,232.25,232.25,232.25,232.25,236.34,236.34,236.34,236.34,236.36,236.36,236.36,236.36,236.38,236.39,236.39,236.39,235.120,235.120,235.120
1993-01,437.9,437.9,437.9,438.4,438.1,438.1,438.3,438.3,437.7,437.7,437.7,437.6,437.6,437.6,437.6,231.48,231.50,231.50,231.47,231.47,231.51,231.51,231.51,231.51,231.51,231.51,231.49,231.49,231.46,231.46,231.46,231.46,231.53,231.52,231.52,231.52,231.57,231.57,231.57,231.58,235.11,235.11,235.11,235.11,235.11,235.11,235.11,235.11,235.09,235.08,235.08,235.08,233.927,233.927,233.927
1993-04,442.8,442.8,442.8,442.8,444.0,443.9,443.9,443.9,443.8,443.7,443.7,443.7,443.7,443.6,443.5,234.60,234.66,234.66,234.62,234.62,234.66,234.66,234.66,234.66,234.65,234.65,234.64,234.64,234.74,234.74,234.74,234.74,234.57,234.59,234.59,234.58,234.59,234.59,234.59,234.60,238.46,238.46,238.46,238.46,238.42,238.43,238.43,238.43,238.41,238.41,238.41,238.41,237.724,237.724,237.724
1993-07,445.7,445.7,445.7,445.8,446.1,446.1,446.0,446.0,446.5,446.7,446.6,446.6,446.6,446.6,446.5,235.35,235.34,235.34,235.34,235.34,235.30,235.30,235.30,235.30,235.31,235.31,235.36,235.36,235.28,235.28,235.28,235.28,235.27,235.27,235.27,235.27,235.28,235.28,235.28,235.27,239.44,239.44,239.44,239.44,239.41,239.41,239.41,239.41,239.43,239.40,239.40,239.40,238.413,238.413,238.413
1993-10,448.3,448.3,448.3,447.8,448.6,448.6,448.5,448.5,448.8,448.8,448.9,449.0,449.0,449.1,449.3,236.77,236.69,236.69,236.77,236.77,236.69,236.69,236.69,236.69,236.70,236.70,236.68,236.68,236.69,236.69,236.69,236.69,236.79,236.79,236.79,236.78,236.71,236.71,236.71,236.72,240.98,240.98,240.98,240.98,241.06,241.06,241.06,241.06,241.07,241.10,241.10,241.10,239.993,239.993,239.993
1994-01,452.0,452.0,452.0,452.6,453.5,453.6,453.8,453.8,453.7,453.6,454.0,453.7,453.7,453.9,453.8,239.61,239.64,239.64,239.62,239.62,239.65,239.65,239.65,239.65,239.66,239.66,239.63,239.63,239.55,239.55,239.55,239.55,239.56,239.60,239.60,239.60,239.64,239.64,239.64,239.67,243.61,243.61,243.61,243.61,243.58,243.58,243.58,243.58,243.56,243.55,243.55,243.55,242.651,242.651,242.651
1994-04,449.4,449.4,449.4,449.4,451.9,451.9,451.8,451.8,452.1,452.0,452.3,452.3,452.3,452.2,452.1,238.79,238.84,238.84,238.82,238.82,238.86,238.86,238.86,238.86,238.83,238.83,238.83,238.83,238.88,238.88,238.88,238.88,238.78,238.79,238.79,238.79,238.78,238.78,238.78,238.79,242.75,242.75,242.75,242.75,242.71,242.71,242.71,242.71,242.71,242.69,242.69,242.69,242.111,242.112,242.112
1994-07,453.0,453.0,453.0,453.1,454.8,454.8,454.7,454.7,455.5,455.7,456.0,456.1,456.1,456.0,455.8,240.05,240.01,240.01,240.03,240.03,239.97,239.97,239.97,239.97,239.98,239.98,240.03,240.03,239.98,239.98,239.98,239.98,240.01,240.00,240.00,240.00,240.00,240.00,240.00,239.96,244.48,244.48,244.48,244.48,244.44,244.44,244.44,244.44,244.46,244.42,244.42,244.42,243.789,243.790,243.790
1994-10,459.9,459.9,459.9,459.3,460.5,460.5,460.4,460.4,461.2,461.2,461.6,461.8,461.8,461.8,462.2,243.24,243.18,243.18,243.22,243.22,243.19,243.19,243.19,243.19,243.20,243.20,243.18,243.18,243.25,243.25,243.25,243.25,243.32,243.30,243.30,243.30,243.27,243.27,243.27,243.26,247.64,247.64,247.64,247.64,247.75,247.75,247.75,247.75,247.75,247.83,247.83,247.83,247.043,247.043,247.043
1995-01,464.0,463.9,463.3,463.9,464.1,464.1,464.3,464.3,465.6,465.5,465.9,465.6,465.6,465.8,465.8,246.31,246.32,246.32,246.31,246.31,246.34,246.34,246.34,246.34,246.35,246.35,246.32,246.32,246.19,246.19,246.19,246.19,246.17,246.25,246.25,246.25,246.26,246.26,246.26,246.29,250.31,250.31,250.31,250.31,250.27,250.27,250.27,250.27,250.28,250.24,250.24,250.24,249.764,249.764,249.764
1995-04,465.8,465.7,466.9,466.8,468.7,468.7,468.6,468.6,470.4,470.2,470.4,470.4,470.4,470.2,470.1,248.99,249.02,249.02,249.01,249.01,249.02,249.02,249.02,249.02,249.03,249.03,249.05,249.05,249.03,249.03,249.03,249.03,248.98,248.97,248.97,248.97,248.96,248.96,248.96,248.98,253.27,253.27,253.27,253.27,253.23,253.23,253.23,253.23,253.23,253.18,253.18,253.18,252.717,252.717,252.717
1995-07,,468.5,470.1,470.2,471.2,471.3,471.1,471.1,473.0,473.3,473.8,473.8,473.9,473.8,473.5,250.36,250.34,250.34,250.36,250.36,250.31,250.31,250.31,250.31,250.32,250.32,250.35,250.35,250.35,250.35,250.35,250.35,250.38,250.34,250.34,250.34,250.34,250.34,250.34,250.31,254.60,254.60,254.60,254.60,254.55,254.55,254.55,254.55,254.57,254.53,254.53,254.53,254.119,254.119,254.119
1995-10,,,474.1,473.4,473.0,473.0,472.9,472.9,474.9,474.9,474.9,475.1,475.1,475.2,475.6,252.17,252.11,252.11,252.14,252.14,252.13,252.13,252.13,252.13,252.15,252.15,252.13,252.13,252.26,252.26,252.26,252.26,252.28,252.25,252.25,252.25,252.24,252.24,252.24,252.25,256.38,256.38,256.38,256.38,256.49,256.49,256.49,256.49,256.49,256.61,256.61,256.61,256.030,256.029,256.029
