"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,69.93,69.93,69.93,69.93,69.93,69.93,69.93,69.93,69.93,69.93,69.93,69.93,68.95,68.95,68.95
1991-04,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,66.17,66.17,66.17
1991-07,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,72.59,72.59,72.59
1991-10,70.53,70.53,70.53,70.53,70.53,70.53,70.53,70.53,70.53,70.53,70.53,70.53,68.78,68.78,68.78
1992-01,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,72.74,72.74,72.74
1992-04,70.22,70.22,70.22,70.22,70.22,70.22,70.22,70.22,70.22,70.22,70.22,70.22,69.27,69.27,69.27
1992-07,77.44,77.44,77.44,77.44,77.44,77.44,77.44,77.44,77.44,77.44,77.44,77.44,76.38,76.38,76.38
1992-10,75.85,75.85,75.85,75.85,75.85,75.85,75.85,75.85,75.85,75.85,75.85,75.85,72.78,72.78,72.78
1993-01,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.46,75.46,75.46,75.46
1993-04,74.52,74.52,74.52,74.52,74.52,74.52,74.52,74.52,74.52,74.52,74.52,74.52,72.34,72.34,72.34
1993-07,81.77,81.77,81.77,81.77,81.77,81.77,81.77,81.77,81.77,81.77,81.77,81.77,79.32,79.32,79.32
1993-10,75.34,75.34,75.34,75.34,75.34,75.34,75.34,75.34,75.34,75.34,75.34,75.34,76.11,76.11,76.11
1994-01,77.22,77.22,77.22,77.22,77.22,77.22,77.22,77.22,77.22,77.22,77.22,77.22,75.10,75.10,75.10
1994-04,73.74,73.74,73.74,73.74,73.74,73.74,73.74,73.74,73.74,73.74,73.74,73.74,71.61,71.61,71.61
1994-07,81.44,81.44,81.44,81.44,81.44,81.44,81.44,81.44,81.44,81.44,81.44,81.44,79.55,79.55,79.55
1994-10,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,76.68,76.68,76.68
1995-01,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,80.06,78.52,78.52,78.52
1995-04,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,76.53,74.71,74.71,74.71
1995-07,84.72,84.72,84.72,84.72,84.72,84.72,84.72,84.72,84.72,84.72,84.72,84.72,82.71,82.71,82.71
