"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369
1991-04,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363,9.363
1991-07,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364,9.364
1991-10,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470,9.470
1992-01,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517,9.517
1992-04,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535,9.535
1992-07,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543,9.543
1992-10,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606,9.606
1993-01,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595,9.595
1993-04,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586,9.586
1993-07,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587,9.587
1993-10,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650,9.650
1994-01,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703,9.703
1994-04,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722,9.722
1994-07,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773
1994-10,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865,9.865
1995-01,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841,9.841
1995-04,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860,9.860
1995-07,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895,9.895
1995-10,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995
1996-01,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993,9.993
1996-04,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077,10.077
1996-07,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.078,10.079,10.079,10.079
1996-10,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090
1997-01,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090,10.090
1997-04,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114,10.114
1997-07,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111,10.111
1997-10,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132,10.132
1998-01,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076,10.076
1998-04,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143,10.143
1998-07,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243,10.243
1998-10,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388,10.388
1999-01,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301,10.301
1999-04,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327,10.327
1999-07,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363,10.363
1999-10,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503,10.503
2000-01,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437,10.437
2000-04,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509,10.509
2000-07,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.480
2000-10,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636,10.636
2001-01,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500,10.500
2001-04,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570,10.570
2001-07,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530,10.530
2001-10,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712,10.712
2002-01,10.622,10.622,10.622,10.622,10.622,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623,10.623
2002-04,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669,10.669
2002-07,10.638,10.638,10.638,10.638,10.638,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639,10.639
2002-10,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795,10.795
2003-01,10.655,10.655,10.655,10.655,10.655,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657,10.657
2003-04,10.678,10.678,10.678,10.678,10.678,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682,10.682
2003-07,10.614,10.614,10.614,10.614,10.614,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615,10.615
2003-10,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770
2004-01,10.668,10.668,10.668,10.668,10.668,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665,10.665
2004-04,10.697,10.697,10.697,10.697,10.697,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693,10.693
2004-07,10.641,10.650,10.650,10.650,10.650,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647,10.647
2004-10,10.851,10.828,10.828,10.828,10.828,10.823,10.823,10.823,10.823,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822,10.822
2005-01,10.780,10.699,10.698,10.697,10.697,10.696,10.696,10.696,10.696,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.700,10.694,10.694,10.694,10.694,10.694,10.694,10.694,10.694
2005-04,,10.801,10.756,10.750,10.750,10.748,10.748,10.748,10.748,10.765,10.765,10.765,10.765,10.764,10.764,10.764,10.764,10.760,10.760,10.760,10.760,10.760,10.760,10.760,10.760
2005-07,,,10.785,10.741,10.741,10.745,10.745,10.745,10.745,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.770,10.766,10.766,10.766,10.766,10.766,10.766,10.766,10.766
2005-10,,,,10.926,10.926,10.921,10.921,10.921,10.921,10.949,10.949,10.949,10.949,10.950,10.950,10.950,10.950,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944
2006-01,,,,,10.777,10.785,10.779,10.805,10.805,10.796,10.796,10.796,10.796,10.802,10.802,10.802,10.802,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791
2006-04,,,,,,10.830,10.835,10.865,10.865,10.862,10.862,10.862,10.862,10.872,10.872,10.872,10.872,10.859,10.859,10.859,10.859,10.859,10.859,10.859,10.859
2006-07,,,,,,,10.833,10.844,10.834,10.829,10.829,10.829,10.829,10.839,10.839,10.839,10.839,10.823,10.823,10.823,10.823,10.823,10.823,10.823,10.823
2006-10,,,,,,,,11.037,10.992,10.988,10.988,10.988,10.988,10.994,10.994,10.994,10.994,10.982,10.982,10.982,10.982,10.982,10.982,10.982,10.982
2007-01,,,,,,,,,10.871,10.895,10.893,10.893,10.893,10.901,10.901,10.901,10.901,10.881,10.881,10.881,10.881,10.881,10.881,10.881,10.881
