"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1995-10,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,199.24,204.78,204.78,204.78,204.78,204.78,204.78,204.78,204.78,204.78,204.78,204.78,204.78,203.183,203.183,203.183
1996-01,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,165.60,169.97,169.97,169.97,169.97,169.97,169.97,169.97,169.97,169.97,169.97,169.97,169.97,168.966,168.966,168.966
1996-04,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,173.05,177.90,177.90,177.90,177.90,177.90,177.90,177.90,177.90,177.90,177.90,177.90,177.90,176.969,176.969,176.969
1996-07,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,178.00,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.412,181.412,181.412
1996-10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,198.10,203.12,203.12,203.12,203.12,203.12,203.12,203.12,203.12,203.12,203.12,203.12,203.12,202.261,202.261,202.261
1997-01,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,165.77,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.059,169.059,169.059
1997-04,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,173.36,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.98,177.403,177.403,177.403
1997-07,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,177.69,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.40,181.094,181.094,181.094
1997-10,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,198.04,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.87,202.320,202.320,202.320
1998-01,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,167.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.55,171.066,171.066,171.066
1998-04,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,177.27,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.86,181.535,181.535,181.535
1998-07,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,182.00,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.44,185.576,185.576,185.576
1998-10,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,208.16,208.16,208.16,208.16,208.16,208.16,208.16,208.16,208.16,208.16,208.16,208.16,207.834,207.834,207.834
1999-01,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,171.40,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.09,175.141,175.141,175.141
1999-04,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,181.95,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.700,186.700,186.700
1999-07,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,186.65,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,190.156,190.156,190.156
1999-10,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.74,212.822,212.822,212.822
