"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.086,1.086,1.086
1991-04,1.096,1.096,1.096,1.096,1.097,1.097,1.097,1.097,1.097,1.097,1.097,1.097,1.093,1.093,1.093
1991-07,1.103,1.103,1.103,1.103,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.102,1.099,1.099,1.099
1991-10,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.111,1.111,1.111
1992-01,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.125,1.125,1.125,1.125,1.124,1.124,1.124
1992-04,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.127,1.127,1.127
1992-07,1.141,1.141,1.141,1.141,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.138,1.138,1.138
1992-10,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.141,1.141,1.141
1993-01,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.153,1.153,1.153
1993-04,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.150,1.150,1.150
1993-07,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.153,1.153,1.153
1993-10,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.160,1.156,1.156,1.156
1994-01,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.165,1.163,1.163,1.163
1994-04,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.159,1.159,1.159
1994-07,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.158,1.158,1.158
1994-10,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.159,1.155,1.155,1.155
1995-01,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.149,1.149,1.149
1995-04,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.144,1.144,1.144
1995-07,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.142,1.142,1.142
1995-10,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.141,1.139,1.139,1.139
1996-01,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.138,1.138,1.138
1996-04,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.134,1.134,1.134
1996-07,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.130,1.131,1.131,1.131,1.131,1.128,1.128,1.128
1996-10,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.127,1.125,1.125,1.125
1997-01,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.123,1.123,1.123
1997-04,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.122,1.122,1.122
