"",2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,89.46,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,96.569,96.569,96.569
1991-04,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,90.68,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,95.471,95.471,95.471
1991-07,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,90.01,94.92,94.92,94.92,94.92,94.92,94.92,94.92,94.92,94.92,94.92,94.92,94.92,95.873,95.873,95.873
1991-10,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,75.41,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,79.329,79.329,79.329
1992-01,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,98.94,98.94,98.94,98.94,98.94,98.94,98.94,98.94,98.94,98.94,98.94,98.94,100.979,100.979,100.979
1992-04,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,92.75,95.15,95.15,95.15,95.15,95.15,95.15,95.15,95.15,95.15,95.15,95.15,95.15,98.249,98.249,98.249
