"",2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.944,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.411,10.387,10.387
1991-04,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.664,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.146,10.117,10.117
1991-07,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,10.439,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.963,9.951,9.951
1991-10,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,10.315,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.820,9.796,9.796
1992-01,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,10.059,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.563,9.549,9.549
1992-04,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.830,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.349,9.325,9.325
1992-07,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.718,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.271,9.270,9.270
1992-10,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.598,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.131,9.119,9.119
