"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,71.57,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,77.69,77.69,77.69
1991-04,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,86.91,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,96.49,92.23,92.23,92.23
1991-07,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,84.19,93.87,93.87,93.87,93.87,93.87,93.87,93.87,93.87,93.87,93.87,93.87,93.87,90.04,90.04,90.04
1991-10,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,86.80,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,92.17,92.17,92.17
1992-01,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,78.09,86.89,86.89,86.89,86.89,86.89,86.89,86.89,86.89,86.89,86.89,86.89,86.89,84.10,84.10,84.10
1992-04,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,95.35,95.35,95.35
1992-07,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,86.42,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,96.62,92.20,92.20,92.20
1992-10,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,87.94,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.81,97.81,92.82,92.82,92.82
1993-01,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,73.52,81.93,81.93,81.93,81.93,81.93,81.93,81.93,81.93,81.93,81.93,81.93,81.93,79.63,79.63,79.63
1993-04,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,91.09,91.09,91.09
1993-07,84.41,84.41,84.41,84.41,84.41,84.42,84.42,84.42,84.42,84.42,84.42,84.42,84.42,84.42,84.42,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,94.36,90.06,90.06,90.06
1993-10,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,84.16,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,89.01,89.01,89.01
1994-01,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,75.78,84.38,84.38,84.38,84.38,84.38,84.38,84.38,84.38,84.38,84.38,84.38,84.38,81.77,81.77,81.77
1994-04,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,89.82,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,94.79,94.79,94.79
1994-07,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,88.70,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,93.84,93.84,93.84
1994-10,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,100.48,100.48,100.48,100.48,100.48,100.48,100.48,100.48,100.48,100.48,100.48,100.48,94.92,94.92,94.92
1995-01,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,79.13,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,84.77,84.77,84.77
1995-04,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,91.58,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,101.68,96.26,96.26,96.26
1995-07,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,88.99,99.01,99.01,99.01,99.01,99.01,99.01,99.01,99.01,99.01,99.01,99.01,99.01,93.82,93.82,93.82
1995-10,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,89.08,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,99.43,93.93,93.93,93.93
1996-01,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,74.42,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,79.58,79.58,79.58
1996-04,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,91.55,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,96.54,96.54,96.54
1996-07,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,95.84,95.84,95.84
1996-10,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,90.59,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,95.10,95.10,95.10
1997-01,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55,83.88,83.88,83.88,83.88,83.88,83.88,83.88,83.88,83.88,83.88,83.88,83.88,81.01,81.01,81.01
1997-04,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,93.38,103.28,103.28,103.28,103.28,103.28,103.28,103.28,103.28,103.28,103.28,103.28,103.28,97.59,97.59,97.59
1997-07,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,96.54,96.54,96.54
1997-10,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,103.71,103.71,103.71,103.71,103.71,103.71,103.71,103.71,103.71,103.71,103.71,103.71,97.54,97.54,97.54
1998-01,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,83.14,91.85,91.85,91.85,91.85,91.85,91.85,91.85,91.85,91.85,91.85,91.85,91.85,88.40,88.40,88.40
1998-04,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,93.80,103.66,103.66,103.66,103.66,103.66,103.66,103.66,103.66,103.66,103.66,103.66,103.66,98.13,98.13,98.13
1998-07,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,106.30,106.30,106.30,106.30,106.30,106.30,106.30,106.30,106.30,106.30,106.30,106.30,100.30,100.30,100.30
1998-10,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,107.52,101.24,101.24,101.24
1999-01,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,84.37,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,90.13,90.13,90.13
