"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.647,1.647,1.647,1.647,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.648,1.648,1.648,1.648,1.230,1.229,1.230,1.230,1.230,1.230,1.230,1.230,1.229,1.229,1.229,1.229,1.239,1.239
1991-04,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.530,1.180,1.184,1.180,1.180,1.180,1.180,1.186,1.186,1.184,1.184,1.184,1.184,1.186,1.186
1991-07,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.466,1.466,1.466,1.466,1.140,1.142,1.140,1.140,1.140,1.140,1.138,1.138,1.142,1.142,1.142,1.142,1.148,1.148
1991-10,1.426,1.426,1.426,1.426,1.426,1.426,1.426,1.426,1.426,1.425,1.425,1.425,1.425,1.426,1.426,1.426,1.426,1.425,1.425,1.425,1.425,1.425,1.425,1.425,1.426,1.120,1.115,1.120,1.120,1.120,1.120,1.116,1.116,1.115,1.115,1.115,1.115,1.122,1.122
1992-01,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.362,1.362,1.362,1.362,1.050,1.049,1.050,1.050,1.050,1.050,1.050,1.050,1.049,1.049,1.049,1.049,1.078,1.078
1992-04,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.050,1.053,1.050,1.050,1.050,1.050,1.054,1.054,1.053,1.053,1.053,1.053,1.050,1.050
1992-07,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.275,1.274,1.274,1.274,1.274,1.020,1.019,1.020,1.020,1.020,1.020,1.017,1.017,1.019,1.019,1.019,1.019,1.021,1.021
1992-10,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.000,1.003,1.000,1.000,1.000,1.000,1.004,1.004,1.003,1.003,1.003,1.003,1.000,1.000
1993-01,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.222,1.223,1.223,1.223,1.223,0.990,0.985,0.990,0.990,0.990,0.990,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
1993-04,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,0.960,0.963,0.960,0.960,0.960,0.960,0.963,0.963,0.963,0.963,0.963,0.963,0.966,0.966
1993-07,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.182,1.181,1.181,1.181,1.181,0.950,0.947,0.950,0.950,0.950,0.950,0.946,0.946,0.947,0.947,0.947,0.947,0.951,0.951
1993-10,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,0.930,0.932,0.930,0.930,0.930,0.930,0.933,0.933,0.932,0.932,0.932,0.932,0.938,0.938
1994-01,1.157,1.157,1.157,1.157,1.157,1.157,1.157,1.157,1.157,1.158,1.158,1.158,1.158,1.157,1.157,1.157,1.157,1.157,1.157,1.157,1.157,1.159,1.159,1.159,1.159,0.930,0.934,0.930,0.930,0.940,0.940,0.935,0.935,0.935,0.935,0.935,0.935,0.939,0.939
1994-04,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,0.930,0.926,0.930,0.930,0.930,0.930,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.925
1994-07,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,1.137,0.910,0.911,0.910,0.910,0.910,0.910,0.911,0.911,0.911,0.911,0.911,0.911,0.913,0.913
1994-10,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,0.900,0.897,0.900,0.900,0.900,0.900,0.897,0.897,0.897,0.897,0.897,0.897,0.899,0.899
1995-01,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.115,1.116,1.116,1.116,1.116,0.890,0.887,0.890,0.890,0.890,0.890,0.887,0.887,0.887,0.887,0.887,0.887,0.889,0.889
1995-04,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103,0.870,0.874,0.870,0.870,0.880,0.880,0.875,0.875,0.875,0.875,0.875,0.875,0.873,0.873
