"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43,81.43
1991-04,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73,81.73
1991-07,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93,82.93
1991-10,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20,84.20
1992-01,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70,85.70
1992-04,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05
