"",2001-09-06,2001-10-05,2001-11-07,2001-12-06,2002-01-08,2002-02-07,2002-03-06,2002-04-05,2002-05-07,2002-06-06,2002-07-04,2002-08-07,2002-09-05,2002-10-04,2002-11-06,2002-12-05,2003-01-10,2003-02-06,2003-02-20,2003-04-04,2003-05-07,2003-06-05,2003-07-04,2003-08-06,2003-09-04,2003-10-07,2003-11-06,2003-12-04,2004-01-09,2004-02-05,2004-03-04,2004-04-07,2004-05-06,2004-06-04,2004-07-07,2004-08-05,2004-09-06,2004-10-06,2004-11-04,2004-12-06,2005-01-07,2005-02-04,2005-03-04,2005-04-06,2005-05-06,2005-06-06,2005-07-06,2005-08-04,2005-09-06,2005-10-06,2005-11-04,2005-11-17,2005-12-06,2005-12-20,2006-01-05,2006-01-23,2006-02-06,2006-03-07,2006-05-11,2006-06-29,2006-08-04,2006-09-06,2006-10-06,2006-11-06,2006-12-06,2007-01-08,2007-02-06,2007-03-07,2007-04-04,2007-05-07,2007-06-06,2007-07-06,2007-08-06,2007-09-06,2007-10-08,2007-11-06,2007-12-06,2008-01-08,2008-02-07,2008-03-06,2008-04-04,2008-05-07,2008-06-05,2008-07-04,2008-08-06,2008-09-04,2008-10-07,2008-11-06,2008-12-05,2009-01-08,2009-02-05,2009-03-11,2009-04-08,2009-05-07,2009-06-08,2009-07-07,2009-08-06,2009-09-07,2009-10-07,2009-11-06,2009-12-07,2010-01-07,2010-01-22,2010-02-04,2010-03-05,2010-04-07,2010-05-06,2010-06-07,2010-07-07,2010-08-05,2010-09-07,2010-10-06,2010-11-05,2010-12-07,2011-01-06,2011-02-07,2011-03-08,2011-04-06,2011-05-05,2011-06-07,2011-07-06,2011-08-04,2011-09-06,2011-10-06,2011-11-04,2011-12-06,2012-01-06,2012-02-06,2012-03-07,2012-04-04,2012-06-05,2012-07-05,2012-08-07,2012-09-06,2012-10-05,2012-11-06,2012-12-06,2013-01-08,2013-02-06,2013-03-07,2013-04-05,2013-05-07,2013-06-06,2013-07-05,2013-08-06,2013-09-05,2013-10-08,2013-11-07,2013-12-06,2014-01-08,2014-02-06,2014-03-06,2014-04-04,2014-05-07,2014-06-05,2014-07-04,2014-08-06,2014-09-04,2014-10-06,2014-11-06,2014-12-05,2015-01-08,2015-02-05
unit,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.1,87.2,87.2,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
1991-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,84.3,84.2,84.2,84.2,84.2,84.2,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8
1991-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,84.7,84.6,84.6,84.6,84.6,84.6,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
1991-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.7,83.7,83.7,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3
1991-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,83.3,83.2,83.2,83.2,83.2,83.2,83.7,83.7,83.7,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8
1991-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,83.9,83.9,83.9,83.9,83.9,83.9,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9
1991-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,82.6,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2
1991-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2,85.2,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9
1991-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8,81.8,81.8,81.8,81.8,81.8,81.8,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
1991-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,83.5,83.6,83.6,83.6,83.6,83.6,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7
1991-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.2,84.2,84.2,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9
1991-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,84.9,84.8,84.8,84.8,84.8,84.8,84.1,84.1,84.1,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7
1992-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.3,85.3,85.3,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
1992-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.8,86.8,86.8,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2
1992-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6
1992-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,82.7,82.8,82.8,82.8,82.8,82.8,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
