"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,396.2,396.2,396.2,396.1,396.3,396.4,396.6,396.6,,396.6,396.5,397.0,396.6,396.7,396.8,407.0,208.1,,,,,,,,,,,207.98,207.98,207.97,207.97,207.97,207.97,207.61,,207.61,207.61,207.57,207.57,207.57,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.20,214.43,214.43,214.41,214.41,214.38,214.38,214.38,214.38,214.28,214.28,214.28,214.26,214.46,214.46,214.46,214.46,214.68,214.68,214.68,214.68,214.55,214.55,214.55,214.55,217.635,217.482,217.482
1991-04,407.0,407.0,407.0,406.8,406.3,406.4,406.7,406.7,406.9,406.9,407.1,407.4,407.5,407.5,407.2,415.3,212.3,,,,,,,,,,,212.59,212.59,212.72,212.72,212.72,212.72,212.83,,212.83,212.83,212.83,212.83,212.83,219.84,219.84,219.84,219.84,219.84,219.89,219.89,219.89,219.89,219.94,219.94,219.94,219.94,219.86,219.86,219.84,219.84,219.86,219.86,219.86,219.86,219.81,219.81,219.81,219.82,220.19,220.19,220.27,220.27,219.83,219.83,219.83,219.83,219.99,219.99,219.99,219.99,222.254,222.341,222.341
1991-07,408.2,408.2,408.2,408.3,407.8,407.6,407.9,407.9,408.5,408.5,407.4,407.4,407.5,407.5,407.2,415.3,212.3,,,,,,,,,,,212.23,212.23,212.20,212.20,212.20,212.20,212.24,212.25,212.25,212.25,212.27,212.27,212.27,217.90,217.90,217.90,217.90,217.90,217.90,217.90,217.90,217.90,217.87,217.87,217.87,217.87,217.87,217.87,217.87,217.87,217.77,217.77,217.77,217.77,217.88,217.88,217.88,217.89,219.11,219.11,219.11,219.11,219.28,219.28,219.28,219.28,219.20,219.20,219.20,219.20,219.975,220.284,220.284
1991-10,419.0,419.0,419.0,419.3,421.2,421.1,421.6,421.6,422.6,422.6,423.7,422.9,423.1,423.0,423.6,432.4,221.1,,,,,,,,,,,222.00,222.00,221.87,221.87,221.87,221.87,221.67,221.66,221.66,221.66,221.64,221.64,221.64,229.56,229.56,229.56,229.56,229.56,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.35,229.35,229.38,229.38,229.15,229.15,229.15,229.15,229.27,229.28,229.28,229.28,230.11,230.11,230.03,230.03,230.06,230.06,230.06,230.06,230.07,230.07,230.07,230.07,230.483,230.239,230.239
1992-01,427.4,427.4,427.4,427.2,427.4,427.4,427.4,427.4,428.2,428.3,428.0,428.5,428.1,428.2,428.3,436.7,223.2,223.4,223.4,223.3,223.68,223.82,,,,,,223.76,223.76,223.72,223.72,223.72,223.72,223.68,223.67,223.67,223.67,223.69,223.69,223.69,231.06,231.06,231.06,231.06,231.06,231.08,231.08,231.08,231.08,231.11,231.11,231.11,231.11,231.27,231.27,231.26,231.26,231.21,231.21,231.21,231.21,231.13,231.11,231.11,231.07,233.34,233.34,233.34,233.34,233.61,233.61,233.61,233.61,233.47,233.47,233.47,233.47,234.962,234.843,234.843
1992-04,434.9,434.9,434.9,434.7,433.9,434.3,434.7,434.7,434.6,434.3,434.6,434.8,435.0,435.0,434.7,443.2,226.6,226.8,226.8,226.7,226.04,226.22,,,,,,226.43,226.43,226.59,226.59,226.59,226.59,226.45,226.44,226.44,226.44,226.42,226.42,226.42,233.86,233.83,233.83,233.83,233.83,233.88,233.88,233.88,233.88,233.99,233.99,233.99,233.99,233.91,233.91,233.85,233.85,233.95,233.95,233.95,233.95,233.93,233.94,233.94,233.93,234.21,234.21,234.29,234.29,233.86,233.86,233.86,233.86,234.01,234.01,234.01,234.01,236.101,236.236,236.236
