"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,83.23,79.73,79.73,79.73,79.73,79.73,79.73,79.73,79.73,79.73,79.73,79.73,79.73,75.09,75.09,75.09
1991-04,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,85.23,82.47,82.47,82.47,82.47,82.47,82.47,82.47,82.47,82.47,82.47,82.47,82.47,77.14,77.14,77.14
1991-07,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,77.72,77.72,77.72
1991-10,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,83.30,83.30,83.30,83.30,83.30,83.30,83.30,83.30,83.30,83.30,83.30,83.30,78.14,78.14,78.14
1992-01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,85.01,81.28,81.28,81.28,81.28,81.28,81.28,81.28,81.28,81.28,81.28,81.28,81.28,76.52,76.52,76.52
1992-04,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,86.00,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,77.58,77.58,77.58
1992-07,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,84.53,84.53,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,78.88,78.88,78.88
1992-10,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,84.11,84.11,84.11,84.11,84.11,84.11,84.11,84.11,84.11,84.11,84.11,84.11,78.97,78.97,78.97
1993-01,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,81.89,78.58,78.58,78.57,78.57,78.57,78.57,78.57,78.57,78.57,78.57,78.57,78.57,74.18,74.18,74.18
1993-04,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,84.66,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,76.71,76.71,76.71
1993-07,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,86.65,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,78.41,78.41,78.41
1993-10,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,78.75,78.75,78.75
1994-01,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,83.63,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,75.49,75.49,75.49
1994-04,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,83.81,83.81,83.81,83.81,83.81,83.81,83.81,83.81,83.81,83.81,83.81,83.81,78.34,78.34,78.34
1994-07,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96,86.22,86.22,86.22,86.22,86.22,86.22,86.22,86.22,86.22,86.22,86.22,86.22,80.22,80.22,80.22
1994-10,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,90.57,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,81.47,81.47,81.47
1995-01,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,86.49,82.76,82.76,82.76,82.76,82.76,82.76,82.76,82.76,82.76,82.76,82.76,82.76,77.94,77.94,77.94
1995-04,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,89.13,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,80.26,80.26,80.26
1995-07,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,87.73,81.64,81.64,81.64
1995-10,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,82.03,82.03,82.03
1996-01,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,77.17,77.17,77.17
1996-04,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,86.37,86.37,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,80.61,80.61,80.61
1996-07,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,91.90,89.02,89.02,89.02,89.02,89.02,89.02,89.02,89.02,89.02,89.02,89.02,89.02,82.75,82.75,82.75
1996-10,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,88.38,88.38,88.38,88.38,88.38,88.38,88.38,88.38,88.38,88.38,88.38,88.38,83.11,83.11,83.11
1997-01,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,86.62,82.42,82.42,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,77.60,77.60,77.60
1997-04,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,92.63,89.11,89.11,89.11,89.11,89.11,89.11,89.11,89.11,89.11,89.11,89.11,89.11,83.42,83.42,83.42
1997-07,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,90.90,90.90,90.90,90.90,90.90,90.90,90.90,90.90,90.90,90.90,90.90,90.90,84.72,84.72,84.72
1997-10,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,95.57,90.73,90.73,90.72,90.72,90.72,90.72,90.72,90.72,90.72,90.72,90.72,90.72,85.31,85.31,85.31
1998-01,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,91.46,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,82.00,82.00,82.00
1998-04,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,89.63,84.10,84.10,84.10
1998-07,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,86.54,86.54,86.54
1998-10,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,96.63,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,91.91,86.66,86.66,86.66
1999-01,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,91.56,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,82.26,82.26,82.26
1999-04,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47,90.93,90.93,90.93,90.93,90.93,90.93,90.93,90.93,90.93,90.93,90.93,90.93,85.46,85.46,85.46
1999-07,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,97.74,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,88.24,88.24,88.24
1999-10,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,94.65,94.65,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,89.46,89.46,89.46
2000-01,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,97.26,92.32,92.32,92.32,92.32,92.32,92.32,92.32,92.32,92.32,92.32,92.32,92.32,87.09,87.09,87.09
2000-04,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,95.27,95.27,95.27,95.27,95.27,95.27,95.27,95.27,95.27,95.27,95.27,95.27,89.35,89.35,89.35
2000-07,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,97.68,97.68,97.67,97.67,97.67,97.67,97.67,97.67,97.67,97.67,97.67,97.67,91.21,91.21,91.21
2000-10,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,102.16,96.41,96.41,96.41,96.41,96.41,96.41,96.41,96.41,96.41,96.41,96.41,96.41,90.98,90.98,90.98
2001-01,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,90.15,90.15,90.15
2001-04,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,100.92,97.53,97.53,97.53,97.53,97.53,97.53,97.53,97.53,97.53,97.53,97.53,97.53,91.74,91.74,91.74
2001-07,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,102.76,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,93.35,93.35,93.35
2001-10,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,92.87,92.87,92.87
2002-01,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,94.14,94.14,94.14,94.14,94.14,94.14,94.14,94.14,94.14,94.14,94.14,94.14,88.99,88.99,88.99
2002-04,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,101.51,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,98.21,92.30,92.30,92.30
2002-07,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,94.43,94.43,94.43
2002-10,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,98.28,98.28,98.27,98.27,98.27,98.27,98.27,98.27,98.27,98.27,98.27,98.27,92.70,92.70,92.70
2003-01,98.82,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,94.10,94.10,94.10,94.10,94.10,94.10,94.10,94.10,94.10,94.10,94.10,94.10,88.39,88.39,88.39
2003-04,100.33,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,100.35,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,96.69,90.59,90.59,90.59
2003-07,103.71,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,100.53,100.53,100.53,100.53,100.53,100.53,100.53,100.53,100.53,100.53,100.53,100.53,93.84,93.84,93.84
2003-10,103.64,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37,98.38,98.38,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,92.43,92.43,92.43
