"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,113.43,113.43,113.43,113.43,113.43,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78,112.78
1991-04,102.90,102.90,102.90,102.90,102.90,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34
1991-07,110.04,110.04,110.04,110.04,110.04,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.46,109.47,109.47,109.47,109.47,109.47,109.47,109.47,109.47
1991-10,108.24,108.24,108.24,108.24,108.24,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66,107.66
1992-01,111.99,111.99,111.99,111.99,111.99,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.41,111.40,111.40,111.40,111.40,111.40,111.40,111.40,111.40
1992-04,102.11,102.11,102.11,102.11,102.11,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.58,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59
1992-07,109.26,109.26,109.26,109.26,109.26,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.72,108.70,108.70,108.70,108.70,108.70,108.70,108.70,108.70
