"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,0.992,0.992,0.992,0.992,0.993,0.993,0.992,0.992,0.992,0.992,0.992,0.992,0.919,0.919,0.919
1991-04,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.919,0.919,0.919
1991-07,0.986,0.986,0.986,0.986,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.916,0.916,0.916
1991-10,0.984,0.984,0.984,0.984,0.984,0.984,0.983,0.983,0.984,0.984,0.984,0.984,0.917,0.917,0.917
1992-01,0.989,0.989,0.989,0.989,0.990,0.990,0.990,0.990,0.989,0.989,0.989,0.989,0.922,0.922,0.922
1992-04,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.918,0.918,0.918
1992-07,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.915,0.915,0.915
1992-10,0.978,0.978,0.978,0.978,0.977,0.977,0.977,0.977,0.978,0.978,0.978,0.978,0.912,0.912,0.912
1993-01,0.976,0.976,0.976,0.976,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.914,0.914,0.914
1993-04,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.911,0.911,0.911
1993-07,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.907,0.907,0.907
1993-10,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.904,0.904,0.904
1994-01,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.906,0.906,0.906
1994-04,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.901,0.901,0.901
1994-07,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.898,0.898,0.898
1994-10,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.896,0.896,0.896
1995-01,0.951,0.951,0.951,0.951,0.952,0.952,0.952,0.952,0.951,0.951,0.951,0.951,0.889,0.889,0.889
1995-04,0.948,0.948,0.948,0.948,0.947,0.947,0.948,0.948,0.948,0.948,0.948,0.948,0.886,0.886,0.886
1995-07,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.885,0.885,0.885
1995-10,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.883,0.883,0.883
1996-01,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.878,0.878,0.878
1996-04,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.876,0.876,0.876
1996-07,0.935,0.935,0.935,0.935,0.934,0.934,0.935,0.935,0.934,0.934,0.934,0.934,0.874,0.874,0.874
1996-10,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.868,0.868,0.868
1997-01,0.929,0.929,0.929,0.929,0.930,0.930,0.929,0.929,0.930,0.930,0.930,0.930,0.863,0.863,0.863
1997-04,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.930,0.866,0.866,0.866
