"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2005,2005,,,,,,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,59.04,59.04,59.04,59.04,59.04,59.04,59.04,59.04,59.04,59.04,59.04,59.04,55.05,55.05,55.05
1991-04,54.88,54.88,54.88,54.88,54.88,54.88,54.88,54.88,54.88,54.88,54.88,54.88,50.59,50.59,50.59
1991-07,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,60.67,55.58,55.58,55.58
1991-10,57.76,57.76,57.76,57.76,57.76,57.76,57.76,57.76,57.76,57.76,57.76,57.76,52.57,52.57,52.57
1992-01,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,55.84,55.84,55.84
1992-04,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68,59.68,55.29,55.29,55.29
1992-07,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,58.04,58.04,58.04
1992-10,60.52,60.52,60.52,60.52,60.52,60.52,60.52,60.52,60.52,60.52,60.52,60.52,55.36,55.36,55.36
1993-01,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,62.28,58.47,58.47,58.47
1993-04,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,58.23,58.23,58.23
1993-07,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,66.36,60.83,60.83,60.83
1993-10,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.29,58.23,58.23,58.23
1994-01,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,62.24,62.24,62.24
1994-04,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,61.78,61.78,61.78
1994-07,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,69.67,64.49,64.49,64.49
1994-10,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,61.89,61.89,61.89
1995-01,71.50,71.50,71.50,71.50,71.50,71.50,71.50,71.50,71.50,71.50,71.50,71.50,68.16,68.16,68.16
1995-04,72.32,72.32,72.32,72.32,72.32,72.32,72.32,72.32,72.32,72.32,72.32,72.32,67.66,67.66,67.66
1995-07,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,70.57,70.57,70.57
1995-10,74.20,74.20,74.20,74.20,74.20,74.20,74.20,74.20,74.20,74.20,74.20,74.20,68.26,68.26,68.26
