"",1999-04-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22
unit,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
1991-01,,5.6,,,,,,,,,,,5.26,5.26,6.43,6.43,6.42,6.43,6.72,6.72,6.72,6.72,6.43,6.43,6.44
1991-04,5.1,2.6,,,,,,,,,,,3.35,3.35,3.31,3.31,3.33,3.30,3.30,3.30,3.29,3.28,3.78,3.78,3.80
1991-07,0.1,0.4,,,,,,,,,,,1.77,1.77,0.98,0.98,0.97,0.99,0.83,0.82,0.82,0.88,0.76,0.76,0.89
1991-10,,-1.0,,,,,,,,,,,-3.93,-3.93,-3.92,-3.92,-3.92,-3.89,-3.85,-3.84,-3.84,-3.82,-4.02,-4.02,-4.19
1992-01,4.7,1.9,1.7,2.1,1.7,2.57,2.42,,,,,,2.68,2.68,3.55,3.55,3.54,3.53,3.66,3.67,3.67,3.71,3.60,3.60,3.60
1992-04,,-0.4,-0.1,0.0,1.1,0.47,0.72,,,,,,0.49,0.49,0.57,0.57,0.60,0.57,0.74,0.75,0.75,0.71,1.11,1.11,1.14
1992-07,,-3.0,-3.4,-3.7,-3.5,-2.44,-2.34,,,,,,-1.77,-1.77,-2.48,-2.48,-2.50,-2.47,-2.69,-2.69,-2.69,-2.54,-2.61,-2.61,-2.49
1992-10,,-3.4,-3.0,-3.2,-4.0,-4.92,-5.13,,,,,,-5.41,-5.41,-5.80,-5.80,-5.80,-5.79,-5.75,-5.75,-5.75,-5.81,-5.81,-5.81,-5.99
1993-01,,-4.1,-4.5,-4.1,-4.3,-3.74,-3.73,,,,,,-3.71,-3.71,-3.11,-3.11,-3.13,-3.14,-3.20,-3.20,-3.20,-2.94,-3.02,-3.03,-3.02
1993-04,,-2.4,-2.0,-1.9,-1.3,-1.73,-1.47,,,,,,-1.62,-1.62,-1.20,-1.20,-1.19,-1.21,-1.00,-1.00,-1.00,-0.94,-0.80,-0.82,-0.78
1993-07,0.2,0.3,-0.1,-0.4,0.1,0.61,0.67,0.56,,,,,1.01,1.01,0.40,0.40,0.38,0.42,0.27,0.27,0.27,0.39,0.24,0.23,0.36
1993-10,0.3,0.2,0.6,0.5,-0.5,-1.07,-1.42,-1.39,,,,,-1.63,-1.63,-1.94,-1.94,-1.94,-1.92,-1.92,-1.92,-1.92,-2.12,-2.09,-2.09,-2.26
1994-01,-2.0,-1.1,-1.5,-1.1,-1.1,-0.44,-0.09,-0.02,,,,,-0.32,-0.32,-0.10,-0.10,-0.14,-0.15,-0.02,-0.01,-0.01,0.14,0.15,0.15,0.17
1994-04,,-3.5,-3.2,-3.2,-2.9,-3.19,-2.91,-2.93,,,,,-2.99,-2.99,-2.40,-2.40,-2.39,-2.42,-2.46,-2.46,-2.46,-2.38,-2.36,-2.36,-2.30
1994-07,3.2,1.7,1.2,1.0,1.5,1.80,1.63,1.53,1.69,,,,2.00,2.00,1.48,1.48,1.46,1.51,1.42,1.41,1.41,1.50,1.29,1.28,1.42
1994-10,3.4,1.5,2.1,2.1,1.2,0.67,0.26,0.27,-0.06,,,,0.02,0.02,-0.17,-0.17,-0.17,-0.15,-0.03,-0.03,-0.03,-0.33,-0.27,-0.26,-0.43
1995-01,7.9,4.4,3.0,3.5,3.6,3.95,4.40,4.46,4.50,4.50,,,4.10,4.10,4.12,4.12,4.09,4.09,3.83,3.84,3.85,3.85,3.89,3.89,3.92
1995-04,,-0.1,0.0,-0.2,-0.2,-0.12,0.24,0.22,0.36,0.36,,,0.25,0.25,0.68,0.68,0.70,0.67,0.71,0.71,0.71,0.72,0.86,0.84,0.91
1995-07,4.5,2.2,1.1,0.9,1.2,1.27,0.88,0.88,1.07,1.07,,,1.32,1.32,0.92,0.92,0.93,0.98,1.10,1.08,1.09,1.03,0.77,0.77,0.89
1995-10,,-1.6,-0.8,-0.9,-1.4,-1.85,-2.29,-2.32,-2.66,-2.66,,,-2.55,-2.55,-2.69,-2.69,-2.70,-2.70,-2.80,-2.81,-2.80,-2.85,-2.64,-2.63,-2.86
