"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,2005,2005,2005,2005,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,97.45,97.45,97.45,97.45,97.45,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,98.35,98.35
1991-04,99.09,99.09,99.09,99.09,99.09,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.12,100.40,100.40,100.40,100.40,100.40,100.40,100.40,100.40,100.40,100.40,100.40,100.40,97.71,97.71
1991-07,107.23,107.23,107.23,107.23,107.23,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,107.26,108.38,108.38,108.38,108.38,108.38,108.38,108.38,108.38,108.38,108.38,108.38,108.38,105.73,105.73
1991-10,102.03,102.03,102.03,102.03,102.03,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,101.57,101.57
1992-01,102.27,102.27,102.27,102.27,102.27,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,104.16,102.64,102.64
1992-04,100.24,100.24,100.24,100.24,100.24,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,99.27,99.27
