"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,111.58,114.65,114.65,114.65,114.65,114.65,114.65,114.65,114.65,114.65,114.65,114.65,114.65,113.414,113.414,113.414
1991-04,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,114.28,118.04,118.04,118.04,118.04,118.04,118.04,118.04,118.04,118.04,118.04,118.04,118.04,116.797,116.797,116.797
1991-07,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,120.96,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,123.062,123.062,123.062
1991-10,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,134.23,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,137.479,137.479,137.479
1992-01,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,116.55,120.43,120.43,120.43,120.43,120.43,120.43,120.43,120.43,120.43,120.43,120.43,120.43,119.247,119.247,119.247
1992-04,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,120.11,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,124.15,122.970,122.970,122.970
1992-07,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,131.69,135.33,135.33,135.33,135.33,135.33,135.33,135.33,135.33,135.33,135.33,135.33,135.33,134.309,134.309,134.309
1992-10,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,148.83,148.83,148.83,148.83,148.83,148.83,148.83,148.83,148.83,148.83,148.83,148.83,147.340,147.340,147.340
1993-01,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,121.65,125.62,125.62,125.62,125.62,125.62,125.62,125.62,125.62,125.62,125.62,125.62,125.62,124.343,124.343,124.343
1993-04,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,125.02,129.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,127.947,127.947,127.947
1993-07,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,133.98,137.45,137.45,137.45,137.45,137.45,137.45,137.45,137.45,137.45,137.45,137.45,137.45,136.404,136.404,136.404
1993-10,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,146.23,151.52,151.52,151.52,151.52,151.52,151.52,151.52,151.52,151.52,151.52,151.52,151.52,150.026,150.026,150.026
1994-01,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,122.94,127.18,127.18,127.18,127.18,127.18,127.18,127.18,127.18,127.18,127.18,127.18,127.18,126.044,126.044,126.044
1994-04,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,123.95,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,127.022,127.022,127.022
1994-07,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,132.89,136.62,136.62,136.62,136.62,136.62,136.62,136.62,136.62,136.62,136.62,136.62,136.62,135.866,135.866,135.866
1994-10,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,145.11,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,149.487,149.487,149.487
1995-01,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,127.77,127.77,127.77,127.77,127.77,127.77,127.77,127.77,127.77,127.77,127.77,127.77,126.856,126.856,126.856
1995-04,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,124.74,129.06,129.06,129.06,129.06,129.06,129.06,129.06,129.06,129.06,129.06,129.06,129.06,128.194,128.194,128.194
1995-07,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,134.46,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.70,137.205,137.205,137.205
1995-10,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,146.16,151.20,151.20,151.20,151.20,151.20,151.20,151.20,151.20,151.20,151.20,151.20,151.20,150.397,150.397,150.397
1996-01,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,123.96,130.24,130.24,130.24,130.24,130.24,130.24,130.24,130.24,130.24,130.24,130.24,130.24,129.610,129.610,129.610
1996-04,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,124.61,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.85,130.341,130.341,130.341
1996-07,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,134.22,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.74,139.588,139.588,139.588
1996-10,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,143.80,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.73,150.160,150.160,150.160
1997-01,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,121.60,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.71,127.154,127.154,127.154
1997-04,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,122.08,128.33,128.33,128.33,128.33,128.33,128.33,128.33,128.33,128.33,128.33,128.33,128.33,127.961,127.961,127.961
1997-07,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.411,137.411,137.411
1997-10,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,142.32,149.27,149.27,149.27,149.27,149.27,149.27,149.27,149.27,149.27,149.27,149.27,149.27,148.797,148.797,148.797
1998-01,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,122.78,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.93,128.561,128.561,128.561
1998-04,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,124.81,131.03,131.03,131.03,131.03,131.03,131.03,131.03,131.03,131.03,131.03,131.03,131.03,130.835,130.835,130.835
1998-07,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,136.04,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.19,141.515,141.515,141.515
1998-10,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,146.22,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.70,152.553,152.553,152.553
1999-01,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,126.22,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,131.89,132.028,132.028,132.028
1999-04,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,128.87,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.20,135.344,135.344,135.344
1999-07,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,141.11,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.38,146.943,146.943,146.943
1999-10,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,151.32,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.75,158.801,158.801,158.801
2000-01,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,132.22,138.84,138.84,138.84,138.84,138.84,138.84,138.84,138.84,138.84,138.84,138.84,138.84,139.690,139.690,139.690
2000-04,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,133.63,140.79,140.79,140.79,140.79,140.79,140.79,140.79,140.79,140.79,140.79,140.79,140.79,141.599,141.599,141.599
2000-07,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,146.24,152.06,152.06,152.06,152.06,152.06,152.06,152.06,152.06,152.06,152.06,152.06,152.06,153.366,153.366,153.366
2000-10,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,157.51,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.33,165.923,165.923,165.923
2001-01,137.61,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,137.60,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.25,144.717,144.717,144.717
2001-04,139.04,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,139.02,145.87,145.87,145.87,145.87,145.87,145.87,145.87,145.87,145.87,145.87,145.87,145.87,146.315,146.315,146.315
2001-07,150.65,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,150.63,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.28,156.946,156.946,156.946
2001-10,162.79,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,162.77,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.84,170.731,170.731,170.731
2002-01,138.41,138.22,138.22,138.22,138.22,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,138.30,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.45,145.514,145.514,145.514
2002-04,139.29,139.13,139.13,139.13,139.13,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.53,146.806,146.806,146.806
2002-07,151.45,151.29,151.29,151.29,151.29,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,151.38,157.55,157.55,157.55,157.55,157.55,157.55,157.55,157.55,157.55,157.55,157.55,157.55,158.213,158.213,158.213
2002-10,162.94,162.83,162.83,162.83,162.83,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,163.00,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.20,171.416,171.416,171.416
2003-01,137.73,137.23,137.23,137.23,137.23,137.49,137.49,137.49,137.49,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,137.52,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.11,144.163,144.163,144.163
2003-04,138.23,137.74,137.74,137.74,137.74,138.03,138.03,138.03,138.03,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,138.10,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,144.879,144.879,144.879
2003-07,150.84,150.35,150.35,150.35,150.35,150.65,150.65,150.65,150.65,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.41,156.757,156.757,156.757
2003-10,162.16,162.18,162.18,162.18,162.18,162.44,162.44,162.44,162.44,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.569,169.569,169.569
2004-01,140.53,140.24,140.24,140.24,140.24,140.84,140.84,140.84,140.84,140.92,140.92,140.92,140.92,140.87,140.87,140.87,140.87,140.87,140.87,140.87,140.87,140.87,140.87,140.87,140.87,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.12,147.054,147.054,147.054
2004-04,142.70,142.39,142.39,142.39,142.39,143.05,143.05,143.05,143.05,143.22,143.22,143.22,143.22,143.15,143.15,143.15,143.15,143.15,143.15,143.15,143.15,143.15,143.15,143.15,143.15,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.57,149.710,149.710,149.710
2004-07,153.21,152.97,152.97,152.97,152.97,153.82,153.82,153.82,153.82,153.87,153.87,153.87,153.87,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,153.81,158.78,158.78,158.78,158.78,158.78,158.78,158.78,158.78,158.78,158.78,158.78,158.78,159.349,159.349,159.349
2004-10,164.30,164.68,164.68,164.68,164.68,165.42,165.42,165.42,165.42,165.52,165.52,165.52,165.52,165.51,165.51,165.51,165.51,165.51,165.51,165.51,165.51,165.51,165.51,165.51,165.51,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.38,172.397,172.397,172.397
2005-01,141.38,140.97,140.87,141.18,141.18,141.39,141.39,141.39,141.39,141.60,141.60,141.60,141.60,141.61,141.61,141.61,141.61,141.55,141.55,141.55,141.55,141.55,141.55,141.55,141.55,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.31,147.441,147.441,147.441
2005-04,,142.05,142.30,142.46,142.46,142.81,142.81,142.81,142.81,143.10,143.10,143.10,143.10,143.00,143.00,143.00,143.00,142.95,142.95,142.95,142.95,142.95,142.95,142.95,142.95,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,149.266,149.266,149.266
2005-07,,,152.20,152.46,152.46,152.80,152.80,152.80,152.80,153.33,153.33,153.33,153.33,153.25,153.25,153.25,153.25,153.16,153.16,153.16,153.16,153.16,153.16,153.16,153.16,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.05,158.983,158.983,158.983
2005-10,,,,163.40,163.40,164.43,164.43,164.43,164.43,164.73,164.73,164.73,164.73,164.79,164.79,164.79,164.79,164.74,164.74,164.74,164.74,164.74,164.74,164.74,164.74,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.26,171.678,171.678,171.678
2006-01,,,,,139.89,139.65,139.90,140.28,140.26,140.56,140.56,140.56,140.56,140.44,140.44,140.44,140.44,140.33,140.33,140.33,140.33,140.41,140.41,140.41,140.41,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.10,146.277,146.277,146.277
2006-04,,,,,,141.59,142.41,142.88,142.77,143.49,143.49,143.49,143.49,143.50,143.50,143.50,143.50,143.34,143.34,143.34,143.34,143.44,143.44,143.44,143.44,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.10,149.725,149.725,149.725
