"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,105.53,105.52,105.52,105.52,105.52,105.42,105.42,105.42,105.42,105.42,105.41,105.41,105.40,105.42,105.42,105.42,105.42,105.36,105.44,105.44,105.52,105.53,105.53,105.53,105.63,108.60,108.60,108.60,108.60,108.58,108.58,108.58,108.58,108.59,108.59,108.59,108.59,,112.21
1991-04,105.40,105.37,105.37,105.37,105.38,105.24,105.24,105.24,105.24,105.23,105.23,105.22,105.23,105.23,105.22,105.22,105.22,105.29,105.25,105.25,105.11,105.09,105.09,105.09,105.08,109.09,109.09,109.09,109.09,109.08,109.08,109.08,109.08,109.07,109.07,109.07,109.07,,112.33
1991-07,105.46,105.46,105.46,105.46,105.46,105.30,105.30,105.30,105.30,105.29,105.30,105.30,105.30,105.29,105.29,105.29,105.29,105.30,105.25,105.25,105.20,105.25,105.25,105.25,105.26,108.69,108.69,108.69,108.70,108.68,108.68,108.68,108.67,108.69,108.69,108.69,108.68,,112.08
1991-10,105.61,105.62,105.62,105.62,105.62,105.47,105.47,105.47,105.47,105.50,105.50,105.50,105.50,105.49,105.49,105.49,105.49,105.48,105.49,105.49,105.60,105.50,105.50,105.50,105.40,108.50,108.50,108.50,108.49,108.53,108.53,108.53,108.53,108.52,108.52,108.52,108.53,,112.01
1992-01,106.57,106.56,106.56,106.56,106.56,106.43,106.43,106.43,106.43,106.43,106.42,106.42,106.41,106.43,106.43,106.43,106.43,106.37,106.45,106.45,106.53,106.54,106.54,106.54,106.64,109.91,109.91,109.91,109.91,109.90,109.90,109.90,109.90,109.91,109.91,109.91,109.91,113.06,113.06
1992-04,106.67,106.66,106.66,106.66,106.66,106.56,106.56,106.56,106.56,106.55,106.54,106.54,106.54,106.55,106.55,106.55,106.55,106.61,106.57,106.57,106.41,106.42,106.42,106.42,106.41,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.26,109.25,109.26,109.27,112.95,112.95
