"",2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13,2015-05-13
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,86.04,86.04,86.04,86.04,86.04,85.93,85.93,85.93,85.93,86.00,86.00,86.00,86.00,85.95,85.95,85.95,85.95,85.94,85.94,85.94,85.94,86.00,86.01,86.01,86.00,84.69,84.69,84.69,84.69,84.69,84.69,84.69,84.69,84.66,84.66,84.66,84.66,79.54,79.54,79.54,79.54
1991-04,85.32,85.32,85.32,85.32,85.32,85.33,85.33,85.33,85.33,85.31,85.31,85.31,85.31,85.30,85.30,85.30,85.30,85.31,85.31,85.31,85.31,85.30,85.32,85.32,85.30,84.31,84.31,84.31,84.31,84.32,84.32,84.32,84.32,84.31,84.31,84.31,84.31,79.19,79.19,79.19,79.19
1991-07,84.90,84.90,84.90,84.90,84.90,84.91,84.91,84.91,84.91,84.83,84.83,84.83,84.83,84.91,84.91,84.91,84.91,84.91,84.91,84.91,84.91,84.89,84.85,84.85,84.89,83.82,83.82,83.82,83.82,83.82,83.82,83.82,83.82,83.86,83.86,83.86,83.86,78.82,78.82,78.82,78.82
1991-10,86.14,86.14,86.14,86.14,86.14,86.11,86.11,86.11,86.11,86.14,86.14,86.14,86.14,86.16,86.16,86.16,86.16,86.15,86.15,86.15,86.15,86.12,86.13,86.13,86.12,85.05,85.05,85.05,85.05,85.06,85.06,85.06,85.06,85.05,85.05,85.05,85.05,79.78,79.78,79.78,79.78
1992-01,87.66,87.66,87.66,87.66,87.66,87.68,87.68,87.68,87.68,87.75,87.75,87.75,87.75,87.68,87.68,87.68,87.68,87.72,87.72,87.72,87.72,87.79,87.80,87.80,87.79,86.43,86.43,86.43,86.43,86.42,86.42,86.42,86.42,86.38,86.38,86.38,86.38,81.12,81.12,81.12,81.12
1992-04,87.01,87.01,87.01,87.01,87.01,87.02,87.02,87.02,87.02,87.01,87.01,87.01,87.01,86.98,86.98,86.98,86.98,86.99,86.99,86.99,86.99,86.97,86.98,86.98,86.97,85.72,85.72,85.72,85.72,85.74,85.74,85.74,85.74,85.73,85.73,85.73,85.73,80.55,80.55,80.55,80.55
