"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,3715.7398,3712.8206,3712.8206,3715.3950,3715.3950,3714.5938,3714.5938,3714.5938,3717.0465,3717.0604,3717.0604,3717.0604,3717.0604,3718.3470,3718.3470,3718.3470,3721.5148,3463.6400,3463.6408,3463.6400,3463.7600,3463.7500,3463.7500,3463.7536,3463.7536,3463.7794,3463.7794,3463.7794,3463.6654,3558.6279,3558.6279
1991-04,3710.0579,3708.5480,3708.5480,3711.4639,3711.4639,3709.8942,3709.8942,3709.8942,3707.5439,3708.0941,3708.0941,3708.0941,3708.0941,3709.2689,3709.2689,3709.2689,3710.4966,3483.0800,3483.0806,3483.0800,3482.7000,3483.2000,3483.2000,3483.2040,3483.2040,3482.6998,3482.6998,3482.6998,3483.1055,3556.5340,3556.5340
1991-07,3686.2904,3684.5353,3684.5353,3688.0127,3688.0127,3685.7023,3685.7023,3685.7023,3680.1345,3680.1787,3680.1787,3680.1787,3680.1787,3682.9624,3682.9624,3682.9624,3685.5504,3451.4400,3451.4407,3451.4400,3452.4300,3451.5400,3451.5400,3451.5356,3451.5356,3452.5702,3452.5702,3452.5702,3451.5179,3529.8917,3529.8917
1991-10,3693.3209,3698.7437,3698.7437,3689.7759,3689.7759,3692.8105,3692.8105,3692.8105,3698.2761,3698.2085,3698.2085,3698.2085,3698.2085,3694.4162,3694.4162,3694.4162,3687.4329,3448.4000,3448.4040,3448.4000,3447.6700,3448.5000,3448.5000,3448.5043,3448.5043,3447.5415,3447.5415,3447.5415,3448.3022,3530.4144,3530.4144
1992-01,3714.5531,3711.9052,3711.9052,3714.3256,3714.3256,3713.5603,3713.5603,3713.5603,3716.6057,3716.6140,3716.6140,3716.6140,3716.6140,3717.8256,3717.8256,3717.8256,3720.7947,3474.9200,3474.9161,3474.9200,3475.0200,3475.0300,3475.0300,3475.0301,3475.0301,3475.0242,3475.0242,3475.0242,3474.9315,3545.0913,3545.0913
1992-04,3688.0396,3686.8406,3686.8406,3689.8824,3689.8824,3688.0137,3688.0137,3688.0137,3685.8716,3686.4494,3686.4494,3686.4494,3686.4494,3687.6271,3687.6271,3687.6271,3688.7169,3443.1000,3443.0993,3443.1000,3442.7700,3443.2200,3443.2200,3443.2243,3443.2243,3442.7978,3442.7978,3442.7978,3443.1374,3522.2193,3522.2193
1992-07,3662.9240,3661.3242,3661.3242,3664.4516,3664.4516,3662.2320,3662.2320,3662.2320,3657.2062,3657.2396,3657.2396,3657.2396,3657.2396,3658.2642,3658.2642,3658.2642,3660.4750,3429.3800,3429.3834,3429.3800,3430.2700,3429.4700,3429.4700,3429.4710,3429.4710,3430.3989,3430.3989,3430.3989,3429.4551,3502.8250,3502.8250
1992-10,3640.2793,3644.9828,3644.9828,3636.3932,3636.3932,3639.6306,3639.6306,3639.6306,3643.7527,3643.6860,3643.6860,3643.6860,3643.6860,3641.6708,3641.6708,3641.6708,3635.4012,3427.7400,3427.7405,3427.7400,3427.0700,3427.8400,3427.8400,3427.8422,3427.8422,3426.9525,3426.9525,3426.9525,3427.6494,3488.8465,3488.8465
1993-01,3652.0116,3649.8713,3649.8713,3652.0142,3652.0142,3651.2222,3651.2222,3651.2222,3654.2344,3654.3011,3654.3011,3654.3011,3654.3011,3655.4083,3655.4083,3655.4083,3658.0028,3420.0000,3419.9999,3420.0000,3420.0300,3420.1200,3420.1200,3420.1243,3420.1243,3419.9956,3419.9956,3419.9956,3419.9706,3477.3893,3477.3893
1993-04,3647.1527,3646.2245,3646.2245,3649.4281,3649.4281,3647.2483,3647.2483,3647.2483,3645.3257,3645.7598,3645.7598,3645.7598,3645.7598,3646.9389,3646.9389,3646.9389,3647.9437,3424.0600,3424.0560,3424.0600,3423.9000,3424.1900,3424.1900,3424.1866,3424.1866,3423.9586,3423.9586,3423.9586,3424.1280,3487.3271,3487.3271
1993-07,3640.0525,3638.4307,3638.4307,3641.0481,3641.0481,3639.1842,3639.1842,3639.1842,3635.0884,3635.1629,3635.1629,3635.1629,3635.1629,3635.8251,3635.8251,3635.8251,3637.5606,3407.7200,3407.7226,3407.7200,3408.3200,3407.8200,3407.8200,3407.8195,3407.8195,3408.4170,3408.4170,3408.4170,3407.7909,3468.6939,3468.6939
1993-10,3621.5694,3625.5246,3625.5246,3617.5608,3617.5608,3620.8010,3620.8010,3620.8010,3623.8072,3623.7672,3623.7672,3623.7672,3623.7672,3620.7843,3620.7843,3620.7843,3615.4495,3410.5900,3410.5917,3410.5900,3410.1300,3410.6600,3410.6600,3410.6608,3410.6608,3410.0294,3410.0294,3410.0294,3410.5110,3470.7365,3470.7365
1994-01,3651.7046,3650.0229,3650.0229,3651.9143,3651.9143,3650.9777,3650.9777,3650.9777,3652.6411,3652.7682,3652.7682,3652.7682,3652.7682,3653.8051,3653.8051,3653.8051,3655.9586,3429.7000,3429.6971,3429.7000,3429.6600,3429.8300,3429.8300,3429.8260,3429.8260,3429.6086,3429.6086,3429.6086,3429.6500,3482.3636,3482.3636
1994-04,3632.8607,3632.3262,3632.3262,3635.2255,3635.2255,3633.0069,3633.0069,3633.0069,3631.7493,3632.0694,3632.0694,3632.0694,3632.0694,3633.2024,3633.2024,3633.2024,3633.9572,3418.0100,3418.0083,3418.0100,3417.9600,3418.1500,3418.1500,3418.1541,3418.1541,3418.0735,3418.0735,3418.0735,3418.1211,3468.2403,3468.2403
1994-07,3630.4041,3629.1577,3629.1577,3631.0664,3631.0664,3629.5597,3629.5597,3629.5597,3627.1829,3627.2981,3627.2981,3627.2981,3627.2981,3629.1025,3629.1025,3629.1025,3630.0880,3405.6000,3405.6037,3405.6000,3405.9400,3405.6800,3405.6800,3405.6811,3405.6811,3405.9769,3405.9769,3405.9769,3405.6259,3470.8010,3470.8010
1994-10,3607.0151,3609.7393,3609.7393,3603.0399,3603.0399,3606.1194,3606.1194,3606.1194,3608.0903,3608.0548,3608.0548,3608.0548,3608.0548,3605.4739,3605.4739,3605.4739,3601.5801,3391.1600,3391.1596,3391.1600,3390.9100,3391.2200,3391.2200,3391.2222,3391.2222,3390.8357,3390.8357,3390.8357,3391.0977,3457.1329,3457.1329
1995-01,3593.3884,3592.1670,3592.1670,3593.5735,3593.5735,3592.5805,3592.5805,3592.5805,3592.2415,3592.4249,3592.4249,3592.4249,3592.4249,3593.3959,3593.3959,3593.3959,3594.9943,3385.5100,3385.5095,3385.5100,3385.4100,3385.6500,3385.6500,3385.6495,3385.6495,3385.3343,3385.3343,3385.3343,3385.4424,3460.8415,3460.8415
