"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,2005,2005,2005,2005,2005,2010,2010
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
2002-10,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.36,102.36
2003-01,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.55,103.55
2003-04,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.81,94.81
2003-07,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.15,102.34,102.34
2003-10,100.93,100.93,100.93,100.93,100.93,100.93,100.93,100.93,100.93,100.93,100.93,100.93,101.00,101.00
2004-01,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.66,102.66
2004-04,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.82,93.15,93.15
2004-07,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.77,101.33,101.33
2004-10,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.04,102.04
2005-01,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,100.79,100.79
2005-04,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.17,95.17
2005-07,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.45,101.43,101.43
2005-10,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,101.89,101.89
2006-01,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,104.30,104.30
2006-04,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,94.70,94.70
2006-07,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59,101.59,102.64,102.64
2006-10,101.67,101.67,101.67,101.67,101.67,101.67,101.67,101.67,101.67,101.67,101.67,101.67,102.91,102.91
2007-01,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,104.43,104.43
2007-04,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,95.57,95.57
2007-07,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,103.03,103.03
2007-10,101.03,101.03,101.03,101.03,101.03,101.03,101.03,101.03,101.03,101.03,101.03,101.03,102.61,102.61
2008-01,102.13,102.13,102.13,102.13,102.10,102.10,102.10,102.10,102.10,102.10,102.10,102.10,104.59,104.59
2008-04,96.44,96.44,96.44,96.44,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,97.40,97.40
2008-07,102.04,102.04,102.04,102.04,102.10,102.10,102.10,102.10,102.10,102.10,102.10,102.10,102.61,102.61
2008-10,100.98,100.98,100.98,100.98,101.01,101.01,101.01,101.01,101.01,101.01,101.01,101.01,101.48,101.48
2009-01,99.71,99.71,99.71,99.71,99.77,99.77,99.77,99.77,99.83,99.83,99.83,99.83,101.53,101.53
2009-04,91.31,91.31,91.31,91.31,91.42,91.42,91.42,91.42,91.41,91.41,91.41,91.41,92.63,92.63
2009-07,98.42,98.42,98.42,98.42,98.58,98.58,98.58,98.58,98.55,98.55,98.55,98.55,100.23,100.23
2009-10,99.57,99.57,99.57,99.57,99.71,99.71,99.71,99.71,99.58,99.58,99.58,99.58,100.69,100.69
2010-01,99.10,99.10,99.10,99.10,99.00,99.00,99.00,99.00,98.98,98.98,98.98,98.98,101.58,101.58
2010-04,91.40,91.40,91.40,91.40,91.19,91.19,91.19,91.19,91.21,91.21,91.21,91.21,94.24,94.24
2010-07,98.53,98.53,98.53,98.53,98.32,98.32,98.32,98.32,98.33,98.33,98.33,98.33,101.57,101.57
2010-10,99.37,99.37,99.37,99.37,99.16,99.16,99.16,99.16,99.17,99.17,99.17,99.17,102.68,102.68
2011-01,99.07,99.27,99.24,99.36,99.01,99.01,99.01,99.01,98.83,98.83,98.83,98.83,102.57,102.57
2011-04,90.98,91.42,91.24,91.02,90.81,90.81,90.81,90.81,90.71,90.71,90.71,90.71,93.27,93.27
2011-07,,98.31,98.47,98.30,98.05,98.05,98.05,98.05,97.94,97.94,97.94,97.94,99.99,99.99
2011-10,,,98.60,98.61,98.71,98.71,98.71,98.71,98.14,98.14,98.14,98.14,99.45,99.45
2012-01,,,,100.02,100.36,99.89,99.96,100.00,99.20,99.20,99.20,99.20,102.23,102.23
2012-04,,,,,90.91,90.52,90.55,90.57,89.91,89.91,89.91,89.91,92.39,92.39
2012-07,,,,,,97.93,97.99,98.11,97.63,97.63,97.63,97.63,99.99,99.99
2012-10,,,,,,,97.53,97.52,96.80,96.80,96.80,96.80,98.62,98.62
2013-01,,,,,,,,97.94,96.95,96.59,96.52,96.56,98.68,98.68
2013-04,,,,,,,,,89.97,89.89,90.09,90.06,91.59,91.59
2013-07,,,,,,,,,,97.19,97.39,97.14,98.98,98.98
2013-10,,,,,,,,,,,96.29,95.30,97.52,97.52
2014-01,,,,,,,,,,,,97.08,99.28,99.68
2014-04,,,,,,,,,,,,,90.77,91.07
2014-07,,,,,,,,,,,,,,99.06
