"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,580.0311,548.4258,548.4258
1991-04,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,547.4404,515.4790,515.4790
1991-07,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,592.9058,557.3883,557.3883
1991-10,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,595.3485,557.5679,557.5679
1992-01,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,596.9723,572.1003,572.1003
1992-04,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,544.0102,523.3117,523.3117
1992-07,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,587.1224,562.6744,562.6744
1992-10,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,584.3662,558.4105,558.4105
1993-01,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,592.7811,566.5326,566.5326
1993-04,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,546.2944,523.1181,523.1181
1993-07,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,590.6544,565.7638,565.7638
1993-10,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,588.8178,564.4067,564.4067
1994-01,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,598.8064,577.0913,577.0913
1994-04,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,550.6840,530.5403,530.5403
1994-07,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,600.1081,578.3969,578.3969
1994-10,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,596.9072,573.9927,573.9927
1995-01,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,595.6703,582.1710,582.1710
1995-04,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,545.8874,532.2741,532.2741
1995-07,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,591.0542,576.0685,576.0685
1995-10,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,595.4059,578.6324,578.6324
1996-01,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,602.3548,588.4950,588.4950
1996-04,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,556.2905,543.7770,543.7770
1996-07,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,605.6963,591.2323,591.2323
1996-10,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,604.7995,588.2020,588.2020
1997-01,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,604.1209,588.8631,588.8631
