"",2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,4103.9848,4103.9848,4103.9848,4101.5757,4101.5757,4101.5757,4101.5757,4111.1347,4111.1347,4111.1347,4113.6344,4118.0567,4118.0567,4118.0567,4118.3471,3892.0300,3892.0333,3892.0300,3892.0300,3891.0700,3891.0700,3891.0685,3891.0685,3892.3628,3892.3628,3891.5030,3890.2142,3896.2374,3896.2374
1991-04,3992.9405,3992.9405,3992.9405,3990.3799,3990.3799,3990.3799,3990.3799,3990.4693,3990.4693,3990.4693,3989.7192,3985.3221,3985.3221,3985.3221,3985.3750,3849.6500,3849.6505,3849.6500,3849.6500,3848.4000,3848.4000,3848.3985,3848.3985,3844.4997,3844.4997,3849.5764,3848.7875,3842.5320,3842.5320
1991-07,3908.5299,3908.5299,3908.5299,3909.0798,3909.0798,3909.0798,3909.0798,3909.0026,3909.0026,3909.0026,3908.0204,3908.9172,3908.9172,3908.9172,3909.2095,3749.7200,3749.7195,3749.7200,3749.7200,3748.4200,3748.4200,3748.4167,3748.4167,3750.1161,3750.1161,3749.1576,3748.2714,3765.3710,3765.3710
1991-10,3879.2500,3879.2500,3879.2500,3879.4231,3879.4231,3879.4231,3879.4231,3871.2183,3871.2183,3871.2183,3870.4510,3868.3598,3868.3598,3868.3598,3867.7243,3683.6500,3683.6470,3683.6500,3683.6500,3687.7200,3687.7200,3687.7209,3687.7209,3688.1464,3688.1464,3684.8880,3687.8519,3709.7822,3709.7822
1992-01,3883.9684,3883.9684,3883.9684,3880.9508,3880.9508,3880.9508,3880.9508,3889.8128,3889.8128,3889.8128,3892.0801,3895.6044,3895.6044,3895.6044,3895.7913,3718.6400,3718.6403,3718.6400,3718.6400,3717.7300,3717.7300,3717.7307,3717.7307,3718.7929,3718.7929,3718.1488,3716.9887,3718.6068,3718.6068
1992-04,3834.5811,3834.5811,3834.5811,3831.9956,3831.9956,3831.9956,3831.9956,3831.8490,3831.8490,3831.8490,3831.0421,3830.7437,3830.7437,3830.7437,3830.8654,3653.1000,3653.0968,3653.1000,3653.1000,3652.0700,3652.0700,3652.0738,3652.0738,3648.7356,3648.7356,3653.0570,3652.3934,3669.6494,3669.6494
1992-07,3746.3922,3746.3922,3746.3922,3747.8207,3747.8207,3747.8207,3747.8207,3747.5785,3747.5785,3747.5785,3746.7279,3744.0807,3744.0807,3744.0807,3744.3026,3587.2300,3587.2266,3587.2300,3587.2300,3586.1300,3586.1300,3586.1275,3586.1275,3587.7402,3587.7402,3586.6969,3585.9882,3604.0285,3604.0285
1992-10,3648.4724,3648.4724,3648.4724,3648.6274,3648.6274,3648.6274,3648.6274,3641.6494,3641.6494,3641.6494,3641.0395,3642.6658,3642.6658,3642.6658,3642.1354,3524.7500,3524.7473,3524.7500,3524.7500,3528.3100,3528.3100,3528.3053,3528.3053,3528.5111,3528.5111,3525.8769,3528.4095,3539.3336,3539.3336
1993-01,3549.8036,3549.8036,3549.8036,3546.3989,3546.3989,3546.3989,3546.3989,3552.7221,3552.7221,3552.7221,3554.6289,3557.4338,3557.4338,3557.4338,3557.5367,3370.0100,3370.0134,3370.0100,3370.0100,3369.3500,3369.3500,3369.3458,3369.3458,3369.9480,3369.9480,3369.6079,3368.7642,3375.9295,3375.9295
1993-04,3441.3668,3441.3668,3441.3668,3439.0352,3439.0352,3439.0352,3439.0352,3438.7215,3438.7215,3438.7215,3437.9483,3437.8559,3437.8559,3437.8559,3438.0432,3297.3500,3297.3511,3297.3500,3297.3500,3296.7500,3296.7500,3296.7543,3296.7543,3294.7525,3294.7525,3297.3067,3296.9696,3313.0899,3313.0899
1993-07,3414.7946,3414.7946,3414.7946,3416.9100,3416.9100,3416.9100,3416.9100,3416.7537,3416.7537,3416.7537,3416.0782,3413.9418,3413.9418,3413.9418,3414.0343,3264.0400,3264.0448,3264.0400,3264.0400,3263.4500,3263.4500,3263.4466,3263.4466,3264.4967,3264.4967,3263.6540,3263.3682,3271.2227,3271.2227
1993-10,3352.5254,3352.5254,3352.5254,3352.5435,3352.5435,3352.5435,3352.5435,3347.8915,3347.8915,3347.8915,3347.4335,3345.6217,3345.6217,3345.6217,3345.2390,3236.7400,3236.7445,3236.7400,3236.7400,3239.0800,3239.0800,3239.0818,3239.0818,3239.0169,3239.0169,3237.6455,3239.1121,3235.6521,3235.6521
1994-01,3333.3041,3333.3041,3333.3041,3329.5206,3329.5206,3329.5206,3329.5206,3332.8639,3332.8639,3332.8639,3334.5060,3336.7446,3336.7446,3336.7446,3336.7885,3183.0700,3183.0671,3183.0700,3183.0700,3182.7100,3182.7100,3182.7135,3182.7135,3183.0031,3183.0031,3182.7338,3182.2623,3176.7364,3176.7364
1994-04,3314.5205,3314.5205,3314.5205,3312.3063,3312.3063,3312.3063,3312.3063,3312.4618,3312.4618,3312.4618,3311.7287,3311.9083,3311.9083,3311.9083,3312.1416,3176.4700,3176.4740,3176.4700,3176.4700,3176.2200,3176.2200,3176.2154,3176.2154,3175.0828,3175.0828,3176.4240,3176.3173,3161.8461,3161.8461
1994-07,3302.4367,3302.4367,3302.4367,3305.3684,3305.3684,3305.3684,3305.3684,3305.9055,3305.9055,3305.9055,3305.3397,3306.6926,3306.6926,3306.6926,3306.7052,3154.5100,3154.5096,3154.5100,3154.5100,3154.1700,3154.1700,3154.1728,3154.1728,3154.8676,3154.8676,3154.2004,3154.1243,3141.8233,3141.8233
1994-10,3297.6495,3297.6495,3297.6495,3297.1325,3297.1325,3297.1325,3297.1325,3294.3595,3294.3595,3294.3595,3294.0164,3292.3348,3292.3348,3292.3348,3292.0451,3134.4200,3134.4187,3134.4200,3134.4200,3135.8200,3135.8200,3135.8156,3135.8156,3135.5390,3135.5390,3135.1344,3135.7887,3120.5367,3120.5367
1995-01,3266.2051,3266.2051,3266.2051,3262.4079,3262.4079,3262.4079,3262.4079,3263.4220,3263.4220,3263.4220,3264.8007,3266.4229,3266.4229,3266.4229,3266.4245,3139.9300,3139.9317,3139.9300,3139.9300,3139.8700,3139.8700,3139.8704,3139.8704,3139.8571,3139.8571,3139.7053,3139.5383,3128.8599,3128.8599
1995-04,3262.9192,3262.9192,3262.9192,3260.9523,3260.9523,3260.9523,3260.9523,3261.5629,3261.5629,3261.5629,3260.9607,3261.4708,3261.4708,3261.4708,3261.6754,3104.4700,3104.4732,3104.4700,3104.4700,3104.5500,3104.5500,3104.5471,3104.5471,3104.1291,3104.1291,3104.4592,3104.5688,3089.4882,3089.4882
1995-07,3248.0573,3248.0573,3248.0573,3250.7447,3250.7447,3250.7447,3250.7447,3251.4814,3251.4814,3251.4814,3250.9383,3252.5299,3252.5299,3252.5299,3252.4817,3082.4500,3082.4493,3082.4500,3082.4500,3082.4700,3082.4700,3082.4717,3082.4717,3082.7898,3082.7898,3082.2706,3082.4393,3085.4268,3085.4268
1995-10,3175.4834,3175.4834,3175.4834,3175.0261,3175.0261,3175.0261,3175.0261,3174.0086,3174.0086,3174.0086,3173.7750,3175.2781,3175.2781,3175.2781,3175.1200,3016.0000,3016.0036,3016.0000,3016.0000,3016.4100,3016.4100,3016.4080,3016.4080,3016.1151,3016.1151,3016.4560,3016.3447,3029.8618,3029.8618
1996-01,3123.0108,3123.0108,3123.0108,3119.6863,3119.6863,3119.6863,3119.6863,3119.4337,3119.4337,3119.4337,3120.4937,3121.5237,3121.5237,3121.5237,3121.4938,2987.3200,2987.3199,2987.3200,2987.3200,2987.5800,2987.5800,2987.5795,2987.5795,2987.5724,2987.5724,2987.2369,2987.3764,3015.1503,3015.1503
1996-04,3091.4262,3091.4262,3091.4262,3089.4785,3089.4785,3089.4785,3089.4785,3090.2529,3090.2529,3090.2529,3089.8116,3090.7449,3090.7449,3090.7449,3090.8759,2943.3900,2943.3912,2943.3900,2943.3900,2943.7900,2943.7900,2943.7890,2943.7890,2943.6029,2943.6029,2943.4241,2943.7475,2981.1699,2981.1699
1996-07,3064.1048,3064.1048,3064.1048,3066.7198,3066.7198,3066.7198,3066.7198,3067.5559,3067.5559,3067.5559,3067.0617,3068.5889,3068.5889,3068.5889,3068.5842,2931.7500,2931.7539,2931.7500,2931.7500,2932.0800,2932.0800,2932.0838,2932.0838,2931.9789,2931.9789,2931.5853,2931.9998,2963.5999,2963.5999
