"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,80.76,80.76,80.76
1991-04,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,86.08,87.03,87.03,87.03,87.03,87.03,87.03,87.03,87.03,87.03,87.03,87.03,87.03,83.29,83.29,83.29
1991-07,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,82.81,84.48,84.48,84.48,84.48,84.48,84.48,84.48,84.48,84.48,84.48,84.48,84.48,80.33,80.33,80.33
1991-10,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,90.44,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,87.43,87.43,87.43
1992-01,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,84.96,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67,82.76,82.76,82.76
1992-04,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.64,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,87.34,83.78,83.78,83.78
1992-07,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.34,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,86.33,82.81,82.81,82.81
1992-10,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,95.28,95.28,95.28,95.28,95.28,95.28,95.28,95.28,95.28,95.28,95.28,95.28,91.20,91.20,91.20
1993-01,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,82.24,82.24,82.24
1993-04,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,86.93,87.62,87.62,87.62,87.62,87.62,87.62,87.62,87.62,87.62,87.62,87.62,87.62,84.02,84.02,84.02
1993-07,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,88.41,88.41,88.41,88.41,88.41,88.41,88.41,88.41,88.41,88.41,88.41,88.41,84.08,84.08,84.08
1993-10,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.08,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,94.07,90.64,90.64,90.64
1994-01,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,88.31,88.31,88.31,88.31,88.31,88.31,88.31,88.31,88.31,88.31,88.31,88.31,84.56,84.56,84.56
1994-04,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,88.34,88.34,88.34,88.34,88.34,88.34,88.34,88.34,88.34,88.34,88.34,88.34,85.00,85.00,85.00
1994-07,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,88.30,88.30,88.30,88.30,88.30,88.30,88.30,88.30,88.30,88.30,88.30,88.30,84.96,84.96,84.96
1994-10,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,94.61,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,95.10,91.34,91.34,91.34
1995-01,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,88.55,88.55,88.55,88.55,88.55,88.55,88.55,88.55,88.55,88.55,88.55,88.55,85.29,85.29,85.29
1995-04,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,91.17,87.59,87.59,87.59
1995-07,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,89.60,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,90.41,86.59,86.59,86.59
1995-10,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.44,95.44,95.44,95.44,95.44,95.44,95.44,95.44,95.44,95.44,95.44,95.44,92.13,92.13,92.13
1996-01,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,89.91,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,87.00,87.00,87.00
1996-04,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.81,91.81,91.81,91.81,91.81,91.81,91.81,91.81,91.81,91.81,91.81,91.81,88.37,88.37,88.37
1996-07,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.05,92.05,88.15,88.15,88.15
1996-10,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,93.63,93.63,93.63
1997-01,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.27,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,87.01,87.01,87.01
1997-04,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,90.13,90.13,90.13
1997-07,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,91.99,92.59,92.59,92.59,92.59,92.59,92.59,92.59,92.59,92.59,92.59,92.59,92.59,88.61,88.61,88.61
1997-10,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,98.25,97.75,97.75,97.75,97.75,97.75,97.75,97.75,97.75,97.75,97.75,97.75,97.75,94.54,94.54,94.54
1998-01,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45,91.45,88.44,88.44,88.44
1998-04,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.66,93.16,93.16,93.16,93.16,93.16,93.16,93.16,93.16,93.16,93.16,93.16,93.16,89.84,89.84,89.84
1998-07,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,93.81,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,90.15,90.15,90.15
1998-10,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,100.69,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,96.40,96.40,96.40
1999-01,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,93.44,90.57,90.57,90.57
