"",1999-04-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22
unit,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
1991-01,5.6,2.9,,,,,,,,,,,2.89,2.89,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90
1991-04,5.7,2.9,,,,,,,,,,,2.93,2.93,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94
1991-07,6.0,3.1,,,,,,,,,,,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
1991-10,6.0,3.1,,,,,,,,,,,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
1992-01,6.2,3.1,3.2,3.2,3.2,3.15,3.15,,,,,,3.15,3.15,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
1992-04,6.3,3.2,3.2,3.2,3.2,3.22,3.21,,,,,,3.19,3.19,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20
1992-07,6.4,3.3,3.3,3.3,3.3,3.26,3.27,,,,,,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27
1992-10,6.6,3.4,3.4,3.4,3.4,3.35,3.36,,,,,,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37
1993-01,6.6,3.4,3.4,3.4,3.4,3.37,3.37,,,,,,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
1993-04,6.7,3.4,3.4,3.4,3.4,3.44,3.44,,,,,,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43
1993-07,6.7,3.4,3.4,3.4,3.4,3.43,3.44,3.44,,,,,3.44,3.44,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43
1993-10,6.8,3.5,3.5,3.5,3.5,3.46,3.48,3.47,,,,,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
1994-01,7.0,3.6,3.6,3.6,3.6,3.57,3.56,3.57,,,,,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56
1994-04,7.2,3.7,3.7,3.7,3.7,3.71,3.69,3.69,,,,,3.69,3.69,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
1994-07,7.4,3.8,3.8,3.8,3.8,3.78,3.78,3.79,3.79,,,,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
1994-10,7.4,3.8,3.8,3.8,3.8,3.77,3.79,3.79,3.79,,,,3.79,3.79,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
1995-01,7.5,3.8,3.8,3.8,3.8,3.77,3.77,3.77,3.77,3.77,,,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76
1995-04,7.6,3.9,3.8,3.9,3.8,3.86,3.84,3.83,3.83,3.83,,,3.84,3.84,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
1995-07,7.7,3.9,3.9,3.9,3.9,3.93,3.94,3.94,3.94,3.94,,,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
1995-10,7.9,4.0,4.1,4.1,4.1,4.10,4.13,4.13,4.13,4.13,,,4.13,4.13,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
1996-01,8.2,4.2,4.2,4.2,4.2,4.18,4.32,4.32,4.32,4.32,4.32,,4.32,4.32,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31
1996-04,8.3,4.2,4.2,4.2,4.3,4.28,4.35,4.34,4.34,4.34,4.34,,4.35,4.35,4.38,4.38,4.38,4.38,4.37,4.37,4.37,4.37,4.37,4.37,4.37
