"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15300.0792,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15352.8723,15432.8432,15432.8432
1991-04,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14316.7008,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14408.1972,14398.3935,14398.3935
1991-07,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15305.7528,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15361.7500,15412.3871,15412.3871
1991-10,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14866.4088,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,14959.4746,15016.8958,15016.8958
1992-01,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15294.6777,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15335.9456,15375.5444,15375.5444
1992-04,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14192.9469,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14182.5127,14237.4574,14237.4574
1992-07,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15250.0392,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15265.8965,15328.3834,15328.3834
1992-10,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14869.0685,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14950.9963,14960.5510,14960.5510
1993-01,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14792.9610,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14821.6440,14800.5041,14800.5041
1993-04,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13859.2060,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13858.5393,13834.1062,13834.1062
1993-07,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14925.3300,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14932.0428,14927.3392,14927.3392
1993-10,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14629.5908,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14706.1081,14687.9280,14687.9280
1994-01,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14742.9201,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14794.4860,14773.8481,14773.8481
1994-04,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13797.3271,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13810.4243,13755.0580,13755.0580
1994-07,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14917.4865,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14932.0083,14929.2310,14929.2310
1994-10,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14591.9460,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14650.8685,14646.8996,14646.8996
1995-01,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14707.9962,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14783.4985,14831.8876,14831.8876
1995-04,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13675.0934,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13655.1785,13663.8964,13663.8964
