"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,394.8769,394.8769,394.8800,394.8800,394.7700,394.7700,394.7706,394.7706,394.9860,394.8441,394.8398,394.8398,363.0081,363.0081
1991-04,392.3203,392.3203,392.3200,392.3200,392.2800,392.2800,392.2848,392.2848,392.2927,392.1895,392.1717,392.1717,358.9048,358.9048
1991-07,389.5687,389.5687,389.5700,389.5700,389.8200,389.8200,389.8234,389.8234,389.8911,389.7720,389.7900,389.7900,356.7994,356.7994
1991-10,388.7928,388.7928,388.7900,388.7900,388.7300,388.7300,388.7336,388.7336,388.3931,388.7572,388.7614,388.7614,357.1617,357.1617
1992-01,394.5820,394.5820,394.5800,394.5800,394.4700,394.4700,394.4716,394.4716,394.6818,394.5488,394.5426,394.5426,363.8833,363.8833
1992-04,393.8792,393.8792,393.8800,393.8800,393.8700,393.8700,393.8659,393.8659,393.8461,393.7574,393.7404,393.7404,364.1787,364.1787
1992-07,391.2075,391.2075,391.2100,391.2100,391.4300,391.4300,391.4275,391.4275,391.4873,391.3886,391.4056,391.4056,360.6037,360.6037
1992-10,388.1421,388.1421,388.1400,388.1400,388.1000,388.1000,388.0993,388.0993,387.7997,388.1201,388.1263,388.1263,355.9082,355.9082
1993-01,388.7051,388.7051,388.7100,388.7100,388.6000,388.6000,388.6040,388.6040,388.7965,388.6829,388.6755,388.6755,359.0480,359.0480
1993-04,387.9631,387.9631,387.9600,387.9600,388.0000,388.0000,387.9951,387.9951,387.9530,387.8811,387.8610,387.8610,359.9662,359.9662
1993-07,388.0097,388.0097,388.0100,388.0100,388.1600,388.1600,388.1550,388.1550,388.2133,388.1288,388.1459,388.1459,357.4320,357.4320
1993-10,384.2676,384.2676,384.2700,384.2700,384.2400,384.2400,384.2435,384.2435,383.9862,384.2563,384.2668,384.2668,354.4648,354.4648
1994-01,389.4511,389.4511,389.4500,389.4500,389.3800,389.3800,389.3824,389.3824,389.5441,389.4472,389.4467,389.4467,359.2741,359.2741
1994-04,388.0325,388.0325,388.0300,388.0300,388.0700,388.0700,388.0673,388.0673,388.0482,387.9883,387.9427,387.9427,357.7589,357.7589
1994-07,388.0414,388.0414,388.0400,388.0400,388.1400,388.1400,388.1383,388.1383,388.1763,388.1057,388.1316,388.1316,359.5606,359.5606
1994-10,385.7707,385.7707,385.7700,385.7700,385.7600,385.7600,385.7597,385.7597,385.5303,385.7577,385.7778,385.7778,357.3788,357.3788
1995-01,384.2670,384.2670,384.2700,384.2700,384.2300,384.2300,384.2261,384.2261,384.3599,384.2786,384.2853,384.2853,355.4774,355.4774
1995-04,383.4038,383.4038,383.4000,383.4000,383.4400,383.4400,383.4395,383.4395,383.4487,383.3967,383.3214,383.3214,354.8514,354.8514
1995-07,383.9136,383.9136,383.9100,383.9100,383.9600,383.9600,383.9627,383.9627,383.9872,383.9247,383.9626,383.9626,355.9346,355.9346
1995-10,383.6386,383.6386,383.6400,383.6400,383.6500,383.6500,383.6452,383.6452,383.4290,383.6248,383.6555,383.6555,356.4486,356.4486
1996-01,383.5229,383.5229,383.5200,383.5200,383.5200,383.5200,383.5157,383.5157,383.6133,383.5466,383.5633,383.5633,354.7555,354.7555
1996-04,381.0604,381.0604,381.0600,381.0600,381.0500,381.0500,381.0495,381.0495,381.1098,381.0710,380.9647,380.9647,352.1742,352.1742
1996-07,381.6569,381.6569,381.6600,381.6600,381.7100,381.7100,381.7084,381.7084,381.6844,381.6470,381.6976,381.6976,351.7910,351.7910
1996-10,379.8299,379.8299,379.8300,379.8300,379.8500,379.8500,379.8462,379.8462,379.6647,379.8075,379.8464,379.8464,350.5522,350.5522
