"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070,3820.5070
1991-04,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208,3476.6208
1991-07,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894,3719.4894
1991-10,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830,3692.7830
1992-01,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050,3840.1050
1992-04,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186,3514.8186
1992-07,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992,3769.3992
1992-10,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887,3735.2887
1993-01,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675,3843.6675
1993-04,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302,3540.7302
1993-07,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691,3791.0691
1993-10,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080,3765.0080
1994-01,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000,3883.1000
1994-04,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820,3567.9820
1994-07,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781,3848.9781
1994-10,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954,3808.7954
1995-01,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120,3885.1120
1995-04,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392,3561.9392
1995-07,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976,3843.8976
1995-10,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312,3869.4312
1996-01,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295,3930.6295
1996-04,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365,3638.5365
1996-07,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000,3917.3000
1996-10,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415,3887.2415
1997-01,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984,3915.9984
1997-04,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590,3641.9590
1997-07,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415,3893.0415
1997-10,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552,3884.3552
1998-01,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970,3930.7970
1998-04,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315,3619.1315
1998-07,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731,3914.1731
1998-10,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239,3967.0239
