"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2005,2005,,,,,,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60,115.55,115.55,115.55
1991-04,100.61,100.61,100.61,100.61,100.61,100.61,100.61,100.61,100.61,100.61,100.61,100.61,104.82,104.82,104.82
1991-07,107.69,107.69,107.69,107.69,107.69,107.69,107.69,107.69,107.69,107.69,107.69,107.69,112.31,112.31,112.31
1991-10,106.89,106.89,106.89,106.89,106.89,106.89,106.89,106.89,106.89,106.89,106.89,106.89,111.26,111.26,111.26
1992-01,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.21,113.49,113.49,113.49
1992-04,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,104.29,104.29,104.29
1992-07,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,111.59,111.59,111.59
1992-10,105.52,105.52,105.52,105.52,105.52,105.52,105.52,105.52,105.52,105.52,105.52,105.52,109.92,109.92,109.92
1993-01,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,111.42,111.42,111.42
1993-04,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,102.95,102.95,102.95
1993-07,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,106.69,110.71,110.71,110.71
1993-10,105.55,105.55,105.55,105.55,105.55,105.55,105.55,105.55,105.55,105.55,105.55,105.55,109.31,109.31,109.31
1994-01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,111.82,111.82,111.82
1994-04,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,102.32,102.32,102.32
1994-07,106.15,106.15,106.15,106.15,106.15,106.15,106.15,106.15,106.15,106.15,106.15,106.15,110.24,110.24,110.24
1994-10,104.43,104.43,104.43,104.43,104.43,104.43,104.43,104.43,104.43,104.43,104.43,104.43,108.17,108.17,108.17
1995-01,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,106.59,110.71,110.71,110.71
1995-04,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,97.17,100.96,100.96,100.96
1995-07,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,109.14,109.14,109.14
1995-10,104.44,104.44,104.44,104.44,104.44,104.44,104.44,104.44,104.44,104.44,104.44,104.44,108.59,108.59,108.59
