"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,
Record meth,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,734.0672,658.4539,658.4539
1991-04,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,681.3880,612.9569,612.9569
1991-07,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,730.6669,669.1915,669.1915
1991-10,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,738.2546,666.2857,666.2857
1992-01,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,760.0075,678.3486,678.3486
1992-04,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,704.1056,634.0196,634.0196
1992-07,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,756.3720,689.4489,689.4489
1992-10,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,759.6440,678.1367,678.1367
1993-01,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,762.1612,670.7124,670.7124
1993-04,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,706.8905,627.6145,627.6145
1993-07,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,762.4508,686.9529,686.9529
1993-10,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,770.5230,686.9969,686.9969
1994-01,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,786.5808,689.3673,689.3673
1994-04,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,726.0844,646.4795,646.4795
1994-07,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,798.4352,728.3208,728.3208
1994-10,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,806.1554,731.1969,731.1969
1995-01,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,818.2780,736.5643,736.5643
1995-04,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,757.2126,691.0882,691.0882
1995-07,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,824.0069,768.1335,768.1335
1995-10,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,843.8280,776.5249,776.5249
1996-01,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,848.0273,770.0292,770.0292
1996-04,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,783.1689,720.0689,720.0689
1996-07,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,854.8828,804.2577,804.2577
1996-10,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,865.5801,806.3691,806.3691
