"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,4210.4371,4209.2720,4209.2720,4209.2720,4209.2720,4206.6448,4206.6448,4206.6448,4206.6448,4215.3797,4215.3797,4215.3797,4215.4808,4218.3175,4218.3175,4218.3175,4227.2919,4074.2000,4074.2039,4074.2000,4074.2000,4072.8200,4072.8200,4072.8153,4072.8153,4073.5183,4073.5183,4073.5183,4073.5183,4071.0404,4071.0404
1991-04,4091.2321,4091.6288,4091.6288,4091.6288,4091.6288,4088.5948,4088.5948,4088.5948,4088.5948,4087.8029,4087.8029,4087.8029,4087.6695,4085.3462,4085.3462,4085.3462,4082.3818,4027.0900,4027.0926,4027.0900,4027.0900,4026.3000,4026.3000,4026.3032,4026.3032,4024.8964,4024.8964,4024.8964,4024.8964,4011.8158,4011.8158
1991-07,4001.1081,4001.2041,4001.2041,4001.2041,4001.2041,4001.8320,4001.8320,4001.8320,4001.8320,3999.9689,3999.9689,3999.9689,3999.9280,4004.0947,4004.0947,4004.0947,4001.3910,3923.3600,3923.3591,3923.3600,3923.3600,3922.2200,3922.2200,3922.2151,3922.2151,3923.0022,3923.0022,3923.0022,3923.0022,3933.1849,3933.1849
1991-10,3971.8241,3970.6529,3970.6529,3970.6529,3970.6529,3971.1184,3971.1184,3971.1184,3971.1184,3966.5174,3966.5174,3966.5174,3966.5906,3960.6520,3960.6520,3960.6520,3957.3457,3854.9600,3854.9597,3854.9600,3854.9600,3858.8900,3858.8900,3858.8890,3858.8890,3858.2761,3858.2761,3858.2761,3858.2761,3875.3040,3875.3040
1992-01,3971.1449,3970.0282,3970.0282,3970.0282,3970.0282,3966.8747,3966.8747,3966.8747,3966.8747,3974.9815,3974.9815,3974.9815,3975.0493,3977.6491,3977.6491,3977.6491,3985.0074,3888.4100,3888.4078,3888.4100,3888.4100,3887.1400,3887.1400,3887.1375,3887.1375,3887.6810,3887.6810,3887.6810,3887.6810,3879.2512,3879.2512
1992-04,3917.2479,3917.5409,3917.5409,3917.5409,3917.5409,3914.5369,3914.5369,3914.5369,3914.5369,3913.5068,3913.5068,3913.5068,3913.4227,3915.0298,3915.0298,3915.0298,3912.5174,3817.3500,3817.3450,3817.3500,3817.3500,3816.7500,3816.7500,3816.7517,3816.7517,3815.5026,3815.5026,3815.5026,3815.5026,3827.5352,3827.5352
1992-07,3821.4148,3821.4512,3821.4512,3821.4512,3821.4512,3822.7871,3822.7871,3822.7871,3822.7871,3821.1979,3821.1979,3821.1979,3821.1435,3820.9397,3820.9397,3820.9397,3818.7009,3745.3100,3745.3083,3745.3100,3745.3100,3744.3100,3744.3100,3744.3098,3744.3098,3745.0749,3745.0749,3745.0749,3745.0749,3755.1276,3755.1276
1992-10,3716.5659,3715.5506,3715.5506,3715.5506,3715.5506,3716.0577,3716.0577,3716.0577,3716.0577,3712.1790,3712.1790,3712.1790,3712.2498,3710.6102,3710.6102,3710.6102,3708.0032,3675.9200,3675.9201,3675.9200,3675.9200,3679.3600,3679.3600,3679.3594,3679.3594,3678.7962,3678.7962,3678.7962,3678.7962,3683.0880,3683.0880
1993-01,3615.8546,3614.9555,3614.9555,3614.9555,3614.9555,3611.5253,3611.5253,3611.5253,3611.5253,3617.1474,3617.1474,3617.1474,3617.1905,3619.5900,3619.5900,3619.5900,3625.2423,3519.8400,3519.8425,3519.8400,3519.8400,3518.8900,3518.8900,3518.8886,3518.8886,3519.2837,3519.2837,3519.2837,3519.2837,3518.6392,3518.6392
1993-04,3498.0544,3498.2656,3498.2656,3498.2656,3498.2656,3495.5503,3495.5503,3495.5503,3495.5503,3494.4039,3494.4039,3494.4039,3494.3612,3495.6572,3495.6572,3495.6572,3493.8359,3442.1500,3442.1508,3442.1500,3442.1500,3441.9500,3441.9500,3441.9525,3441.9525,3441.0620,3441.0620,3441.0620,3441.0620,3452.6501,3452.6501
1993-07,3465.0956,3465.0811,3465.0811,3465.0811,3465.0811,3466.9402,3466.9402,3466.9402,3466.9402,3466.1227,3466.1227,3466.1227,3466.0580,3465.5999,3465.5999,3465.5999,3463.7719,3405.4700,3405.4740,3405.4700,3405.4700,3404.9700,3404.9700,3404.9739,3404.9739,3405.4498,3405.4498,3405.4498,3405.4498,3406.3553,3406.3553
1993-10,3402.6192,3401.7654,3401.7654,3401.7654,3401.7654,3402.1760,3402.1760,3402.1760,3402.1760,3399.8138,3399.8138,3399.8138,3399.8781,3395.3126,3395.3126,3395.3126,3393.3098,3377.7000,3377.6992,3377.7000,3377.7000,3379.8700,3379.8700,3379.8739,3379.8739,3379.4327,3379.4327,3379.4327,3379.4327,3370.0209,3370.0209
1994-01,3375.9787,3375.1215,3375.1215,3375.1215,3375.1215,3371.4086,3371.4086,3371.4086,3371.4086,3374.0629,3374.0629,3374.0629,3374.0800,3376.3089,3376.3089,3376.3089,3380.6607,3314.6300,3314.6260,3314.6300,3314.6300,3314.0800,3314.0800,3314.0750,3314.0750,3314.3536,3314.3536,3314.3536,3314.3536,3304.6834,3304.6834
1994-04,3353.1970,3353.2971,3353.2971,3353.2971,3353.2971,3350.6764,3350.6764,3350.6764,3350.6764,3350.0660,3350.0660,3350.0660,3350.0654,3351.2875,3351.2875,3351.2875,3349.9445,3305.8500,3305.8535,3305.8500,3305.8500,3305.9400,3305.9400,3305.9385,3305.9385,3305.2768,3305.2768,3305.2768,3305.2768,3285.6094,3285.6094
1994-07,3339.9917,3339.8764,3339.8764,3339.8764,3339.8764,3342.4903,3342.4903,3342.4903,3342.4903,3342.7894,3342.7894,3342.7894,3342.7191,3345.4283,3345.4283,3345.4283,3343.9267,3283.8100,3283.8129,3283.8100,3283.8100,3283.5600,3283.5600,3283.5582,3283.5582,3283.8417,3283.8417,3283.8417,3283.8417,3267.3462,3267.3462
1994-10,3335.6407,3334.7700,3334.7700,3334.7700,3334.7700,3334.6432,3334.6432,3334.6432,3334.6432,3333.6576,3333.6576,3333.6576,3333.7113,3329.7946,3329.7946,3329.7946,3328.2874,3258.8400,3258.8431,3258.8400,3258.8400,3260.0600,3260.0600,3260.0577,3260.0577,3259.6881,3259.6881,3259.6881,3259.6881,3240.4211,3240.4211
1995-01,3303.3665,3302.6294,3302.6294,3302.6294,3302.6294,3298.9698,3298.9698,3298.9698,3298.9698,3299.2644,3299.2644,3299.2644,3299.2679,3301.3047,3301.3047,3301.3047,3304.4682,3266.6000,3266.6021,3266.6000,3266.6000,3266.4100,3266.4100,3266.4054,3266.4054,3266.5253,3266.5253,3266.5253,3266.5253,3249.2696,3249.2696
