"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667
1991-04,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704
1991-07,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744
1991-10,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831,3.831
1992-01,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876
1992-04,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905,3.905
1992-07,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948
1992-10,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012,4.012
1993-01,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031,4.031
1993-04,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040
1993-07,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097,4.097
1993-10,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179,4.179
1994-01,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211
1994-04,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237,4.237
1994-07,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293,4.293
1994-10,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375,4.375
1995-01,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381
1995-04,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415,4.415
1995-07,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454,4.454
1995-10,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530,4.530
1996-01,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542,4.542
1996-04,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570,4.570
1996-07,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621,4.621
1996-10,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706,4.706
1997-01,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697,4.697
1997-04,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735,4.735
1997-07,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819,4.819
1997-10,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916,4.916
1998-01,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917,4.917
1998-04,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010,5.010
1998-07,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125,5.125
1998-10,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251,5.251
1999-01,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238,5.238
1999-04,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346,5.346
1999-07,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510,5.510
1999-10,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618,5.618
2000-01,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631,5.631
2000-04,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750
2000-07,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869,5.869
2000-10,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957,5.957
2001-01,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887,5.887
2001-04,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952,5.952
2001-07,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025
2001-10,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079,6.079
2002-01,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999,5.999
2002-04,6.031,6.031,6.031,6.031,6.031,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032,6.032
2002-07,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084,6.084
2002-10,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116,6.116
2003-01,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042,6.042
2003-04,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073,6.073
2003-07,6.169,6.169,6.169,6.169,6.169,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167
2003-10,6.226,6.226,6.226,6.226,6.226,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224,6.224
2004-01,6.189,6.189,6.189,6.189,6.189,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184,6.184
2004-04,6.265,6.263,6.263,6.263,6.263,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254,6.254
2004-07,6.355,6.363,6.363,6.363,6.363,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349,6.349
2004-10,6.416,6.422,6.422,6.422,6.422,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404,6.404
2005-01,6.362,6.331,6.328,6.327,6.327,6.306,6.306,6.306,6.306,6.308,6.308,6.308,6.308,6.286,6.286,6.286,6.286,6.280,6.280,6.280,6.280,6.280,6.280,6.280,6.280
2005-04,,6.379,6.366,6.364,6.364,6.337,6.337,6.337,6.337,6.337,6.337,6.337,6.337,6.302,6.302,6.302,6.302,6.297,6.297,6.297,6.297,6.297,6.297,6.297,6.297
2005-07,,,6.464,6.453,6.453,6.438,6.438,6.438,6.438,6.439,6.439,6.439,6.439,6.399,6.399,6.399,6.399,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394
2005-10,,,,6.498,6.498,6.517,6.517,6.517,6.517,6.520,6.520,6.520,6.520,6.485,6.485,6.485,6.485,6.479,6.479,6.479,6.479,6.479,6.479,6.479,6.479
2006-01,,,,,6.434,6.437,6.435,6.435,6.435,6.438,6.438,6.438,6.438,6.418,6.418,6.418,6.418,6.400,6.400,6.400,6.400,6.400,6.400,6.400,6.400
2006-04,,,,,,6.510,6.535,6.545,6.545,6.546,6.546,6.546,6.546,6.532,6.532,6.532,6.532,6.519,6.519,6.519,6.519,6.519,6.519,6.519,6.519
2006-07,,,,,,,6.663,6.698,6.693,6.696,6.696,6.696,6.696,6.679,6.679,6.679,6.679,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670
2006-10,,,,,,,,6.782,6.765,6.782,6.782,6.782,6.782,6.758,6.758,6.758,6.758,6.755,6.755,6.755,6.755,6.755,6.755,6.755,6.755
2007-01,,,,,,,,,6.697,6.728,6.720,6.720,6.720,6.688,6.688,6.688,6.688,6.681,6.681,6.681,6.681,6.681,6.681,6.681,6.681
