"",2005-04-28,2005-08-23,2006-01-12,2006-02-22,2006-05-23,2006-08-24,2007-01-11,2007-02-13,2007-05-15,2007-08-14,2008-01-15,2008-02-26,2008-08-14,2008-11-13,2009-01-14,2009-02-13,2009-05-15,2009-08-13,2009-11-24,2010-01-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-01-12,2011-02-15,2011-05-13,2011-08-16,2011-09-01,2012-01-11,2012-02-15,2012-05-24,2012-08-14,2013-01-15,2013-02-14,2013-02-22,2013-05-15,2013-08-14,2014-01-15,2014-02-14,2014-08-14,2015-01-15,2015-02-13
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1534.60,1579.800,1579.800,1579.800
1992,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1646.62,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1695.320,1695.320,1695.320
1993,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1694.37,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1696.90,1748.550,1748.550,1748.550
1994,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1780.78,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1782.20,1830.290,1830.290,1830.290
1995,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.45,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1848.50,1898.060,1898.060,1898.060
1996,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1876.18,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1875.00,1924.710,1924.710,1924.710
