"",1995-09-28,1995-12-28,1996-03-28,1996-06-28,1996-09-28,1996-12-28,1997-03-28,1997-06-28,1997-09-28,1997-12-28,1998-03-28,1998-06-28,1998-09-28,1998-12-28,1999-03-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
unit,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1991=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,1995=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,83.53,82.13,82.13,82.13,82.13,82.13,82.13,82.13,82.13,82.13,82.13,82.13,82.13,77.47,77.47,77.47
1991-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,85.11,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,78.79,78.79,78.79
1991-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.77,85.10,85.10,85.10,85.10,85.10,85.10,85.10,85.10,85.10,85.10,85.10,85.10,79.67,79.67,79.67
1991-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,87.02,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,85.61,80.43,80.43,80.43
1992-01,102.00,102.00,102.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,85.84,84.46,84.46,84.46,84.46,84.46,84.46,84.46,84.46,84.46,84.46,84.46,84.46,79.62,79.62,79.62
1992-04,103.00,103.00,103.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,85.07,85.07,85.07,85.07,85.07,85.07,85.07,85.07,85.07,85.07,85.07,85.07,79.81,79.81,79.81
1992-07,105.00,105.00,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,87.99,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,81.34,81.34,81.34
1992-10,107.00,107.00,107.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,88.73,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,81.67,81.67,81.67
