"","Notrend","Rising","Falling","Volume","Goodrising","Badrising","Otherrising","MTI_All","MTI_Present","MTI_Future","MTI_Monetary","MTI_Inflation","MTI_Taxation","MTI_Cycle","MTI_Labor","MTI_Budget"
"2001-01",0,1,1,2,0,0,1,19.2982456140351,0,56.25,33.3333333333333,50,50,72.7272727272727,0,33.3333333333333
"2001-02",0,6,0,6,0,5,1,-18.6440677966102,-27.906976744186,-25,-83.3333333333333,-83.3333333333333,-50,-33.3333333333333,-12.5,-83.3333333333333
"2001-03",1,4,2,7,0,3,1,-4.34782608695652,-15.625,2.38095238095238,-42.8571428571429,-42.8571428571429,-33.3333333333333,-6.06060606060606,8.16326530612245,-42.8571428571429
"2001-04",4,7,0,11,0,3,4,-23.1884057971014,-27.2727272727273,-17.6470588235294,-30.7692307692308,-27.2727272727273,-37.5,-15.3061224489796,-26.4150943396226,-30.7692307692308
"2001-05",2,17,0,19,0,17,0,-36.4406779661017,-44.7368421052632,-21.4285714285714,-90.4761904761905,-94.7368421052632,-27.2727272727273,-58.8235294117647,-18.9189189189189,-90.4761904761905
"2001-06",3,21,1,25,0,20,1,-53.0516431924883,-50.3597122302158,-58.1081081081081,-84,-84,-4.76190476190476,-62.5,-28.5714285714286,-84
"2001-07",5,9,2,16,1,7,1,-37.9807692307692,-41.0852713178295,-35.1351351351351,-50,-50,-50,-41.5094339622642,-45.3333333333333,-50
"2001-08",2,6,2,10,0,4,2,-43.7810945273632,-50.7142857142857,-27.8688524590164,-30,-30,0,-64.0625,-44.2857142857143,-30
"2001-09",1,3,3,7,0,2,1,-35.7142857142857,-39.7435897435897,-27.2727272727273,0,0,-26.6666666666667,-42.8571428571429,-55.1724137931034,0
"2001-10",0,0,7,7,0,0,0,-47.9381443298969,-47.0588235294118,-53.4246575342466,71.4285714285714,71.4285714285714,-71.4285714285714,-70.5128205128205,-22.2222222222222,71.4285714285714
"2001-11",4,0,4,8,0,0,0,-54.1062801932367,-58.2677165354331,-47.3684210526316,75,75,-55.1724137931034,-75.7142857142857,-53.0612244897959,75
"2001-12",1,4,2,7,0,2,2,-39.2156862745098,-54.4117647058823,-9.52380952380952,0,-14.2857142857143,-87.5,-39.2857142857143,-48.3870967741936,0
"2002-01",3,24,1,28,0,21,3,-55.521472392638,-66.3755458515284,-27.1739130434783,-54.8387096774194,-71.4285714285714,-73.3333333333333,-53.2258064516129,-57.7922077922078,-54.8387096774194
"2002-02",1,8,3,12,0,6,2,-53.9735099337748,-72.972972972973,4,-38.4615384615385,-33.3333333333333,-60.7142857142857,2.56410256410256,-67.9738562091503,-38.4615384615385
"2002-03",6,3,1,10,0,2,1,-30.0546448087432,-40.1639344262295,-3.50877192982456,10,10,-27.2727272727273,5.55555555555556,-55.0724637681159,10
"2002-04",4,6,2,12,0,5,1,-0.680272108843537,-19.3877551020408,41.304347826087,-16.6666666666667,-16.6666666666667,-40,14.5161290322581,17.8571428571429,-16.6666666666667
"2002-05",5,6,7,18,0,5,1,-19.4871794871795,-22.5352112676056,-16.3265306122449,5.55555555555556,5.55555555555556,-38.8888888888889,-8.10810810810811,-39.2156862745098,5.55555555555556
"2002-06",2,2,7,11,0,1,1,-7.38636363636364,-25.4545454545455,25.8620689655172,33.3333333333333,36.3636363636364,5.26315789473684,-40,-2.73972602739726,33.3333333333333
"2002-07",6,0,6,12,0,0,0,-38.1742738589212,-46.6666666666667,2.04081632653061,33.3333333333333,50,-62.5,-20,-53.0612244897959,33.3333333333333
"2002-08",4,4,0,8,0,4,0,-26.6447368421053,-42.8571428571429,-5.26315789473684,-62.5,-62.5,-35.7142857142857,-41.6666666666667,-23.6641221374046,-62.5
"2002-09",1,3,0,4,0,2,1,-48.9230769230769,-50.6072874493927,-43.5897435897436,-50,-50,-66.6666666666667,-61.1940298507463,-45.2054794520548,-50
"2002-10",7,0,1,8,0,0,0,-52.7918781725888,-59.5854922279793,-46.2311557788945,0,0,-72.6495726495726,-66.0714285714286,-32.7868852459016,0
"2002-11",1,4,1,6,0,3,1,-66.3716814159292,-72,-60.7305936073059,-33.3333333333333,-33.3333333333333,-82.8125,-69.4915254237288,-53.4883720930233,-33.3333333333333
"2002-12",2,0,3,5,0,0,0,-24.5989304812834,-39.4618834080717,-2.72108843537415,60,60,-36.5384615384615,-48.1481481481481,-21.1111111111111,60
