Year,Month,Year_Month,MTI_all_all,MTI_DE_all,MTI_all_Gegenwart,MTI_all_Zukunft,MTI_all_Klima,MTI_DE_Gegenwart,MTI_DE_Zukunft,MTI_DE_Klima,MTI_all_Konsum-/Geschaeftsklima,MTI_all_Wettbewerbsfaehigkeit/Nachfrage,MTI_all_Internationale Wirtschaft,MTI_all_Wirtschaftsstandort,MTI_all_Waehrungspolitik/EURO/Geldpolitik,MTI_all_Steuerpolitik,MTI_all_Wirtschaftspolitik,MTI_all_Konjunktur,MTI_all_Arbeitsmarkt,MTI_all_Haushaltspolitik,MTI_DE_Konsum-/Geschaeftsklima,MTI_DE_Wettbewerbsfaehigkeit/Nachfrage,MTI_DE_Internationale Wirtschaft,MTI_DE_Wirtschaftsstandort,MTI_DE_Waehrungspolitik/EURO/Geldpolitik,MTI_DE_Steuerpolitik,MTI_DE_Wirtschaftspolitik,MTI_DE_Konjunktur,MTI_DE_Arbeitsmarkt,MTI_DE_Haushaltspolitik
2001,1,2001_01,19.29824561,19.29824561,0,56.25,125,0,56.25,125,,100,100,0,33.33333333,-37.5,,72.72727273,0,50,,100,100,0,33.33333333,-37.5,,72.72727273,0,50
2001,2,2001_02,-18.6440678,-18.6440678,-27.90697674,-25,73.53214769,-27.90697674,-25,73.53214769,,100,100,,-83.33333333,-40,-44.44444444,-33.33333333,-12.5,-50,,100,100,,-83.33333333,-40,-44.44444444,-33.33333333,-12.5,-50
2001,3,2001_03,-2.419354839,-1.62601626,-12.5,2.380952381,94.64847243,-11.26760563,2.380952381,95.31268039,,60,0,0,-42.85714286,-11.11111111,-50,-2.777777778,9.433962264,-50,,60,0,0,-42.85714286,-11.11111111,-50,0,9.433962264,-50
2001,4,2001_04,-23.94366197,-24.41314554,-27.77777778,-17.64705882,77.12141349,-28.57142857,-17.64705882,76.69649888,-100,0,100,14.28571429,-28.57142857,-80,-50,-16.16161616,-26.78571429,-37.5,-100,0,100,14.28571429,-30.76923077,-80,-50,-17,-26.78571429,-37.5
2001,5,2001_05,-41.05960265,-41.33333333,-46.07843137,-29.16666667,61.80165406,-46.07843137,-29.78723404,61.53033787,50,-100,-100,-12.5,-90.47619048,0,-14.28571429,-30.43478261,-19.51219512,-75.75757576,50,-100,-100,-12.5,-90.47619048,0,-14.28571429,-31.81818182,-19.51219512,-75.75757576
2001,6,2001_06,-50.81967213,-50.81967213,-50,-54.32098765,47.79069593,-50,-54.32098765,47.79069593,-66.66666667,-75,,-26.66666667,-84,-66.66666667,-27.27272727,-60.49382716,-16.66666667,-32.55813953,-66.66666667,-75,,-26.66666667,-84,-66.66666667,-27.27272727,-60.49382716,-16.66666667,-32.55813953
2001,7,2001_07,-35.98130841,-35.98130841,-38.05970149,-34.66666667,63.61419786,-38.05970149,-34.66666667,63.61419786,-100,80,,16.66666667,-50,-16.66666667,-28,-41.50943396,-45.45454545,-50,-100,80,,16.66666667,-50,-16.66666667,-28,-41.50943396,-45.45454545,-50
2001,8,2001_08,-41.54589372,-41.54589372,-47.5862069,-27.41935484,61.67841534,-47.5862069,-27.41935484,61.67841534,0,0,100,-25,-30,-21.05263158,-18.18181818,-64.0625,-42.46575342,0,0,0,100,-25,-30,-21.05263158,-18.18181818,-64.0625,-42.46575342,0
2001,9,2001_09,-35.71428571,-35.71428571,-39.74358974,-27.27272727,66.19882463,-39.74358974,-27.27272727,66.19882463,-25,0,0,50,0,-28.57142857,-33.33333333,-42.85714286,-55.17241379,-26.66666667,-25,0,0,50,0,-28.57142857,-33.33333333,-42.85714286,-55.17241379,-26.66666667
2001,10,2001_10,-48.51485149,-48.51485149,-48.41269841,-52.7027027,49.3957482,-48.41269841,-52.7027027,49.3957482,-40,-66.66666667,0,-20,71.42857143,-29.41176471,-43.75,-70.51282051,-23.68421053,-70,-40,-66.66666667,0,-20,71.42857143,-29.41176471,-43.75,-70.51282051,-23.68421053,-70
2001,11,2001_11,-54.54545455,-54.54545455,-58.91472868,-47.36842105,46.50142687,-58.91472868,-47.36842105,46.50142687,0,-80,,-50,75,-20,-60,-75.71428571,-53.06122449,-58.06451613,0,-80,,-50,75,-20,-60,-75.71428571,-53.06122449,-58.06451613
2001,12,2001_12,-42.15246637,-42.66666667,-55.70469799,-15.94202899,61.01944946,-56.29139073,-15.94202899,60.61400013,-18.75,100,,-50,0,-16.66666667,-75,-41.93548387,-48.4375,-83.33333333,-18.75,100,,-50,0,-16.66666667,-75,-43.75,-48.4375,-83.33333333
2002,1,2002_01,-55.23255814,-55.49132948,-64.89795918,-28.72340426,50.01953591,-65.18218623,-28.72340426,49.81661607,33.33333333,-100,-100,-33.33333333,-54.83870968,-45.45454545,-52.94117647,-51.5625,-55.97484277,-77.14285714,33.33333333,-100,-100,-33.33333333,-54.83870968,-45.45454545,-55.55555556,-52.30769231,-55.97484277,-77.14285714
