"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"ar","1"," ","(10)","1"," ","(20)","1"," ","(15)","1"," ","(3)","1"," ","(3)","1"," ","(5)","1"," ","(7)","1"," ","(9)","1"," ","(10)","1"," ","(14)","1"," ","(9)","1"," ","(16)"
"Zeit ","1.019"," ","(47)","0.954","**","(4)","0.923","**","(2)","0.93","**","(2)","0.991","**","(2)","1","*","(4)","0.982","*","(3)","0.968","*","(3)","0.996","*","(9)","0.962","*","(5)","0.953"," ","(3)","0.924","*","(5)"
"Zeit simple","1.001","*","(13)","0.943","**","(2)","0.893","**","(1)","0.867","**","(1)","0.928","*","(1)","0.942","*","(1)","0.916","*","(1)","0.985","*","(8)","0.991","*","(8)","0.968","*","(7)","0.959","*","(4)","0.922","*","(4)"
"DIL.10","0.999"," ","(8)","0.995","*","(14)","1.012","*","(22)","1.029"," ","(17)","1.037"," ","(15)","1.008","*","(6)","0.988","*","(5)","0.944","*","(1)","0.941","*","(2)","0.965"," ","(6)","1.03"," ","(16)","1.004"," ","(17)"
"DALQ","1.009","*","(32)","0.995","**","(13)","1.021","*","(30)","1.03","*","(18)","1.025","*","(10)","1.038","*","(12)","1.023","*","(13)","0.984","*","(7)","0.939","**","(1)","0.894","*","(1)","0.855","**","(1)","0.821","**","(1)"
"DWHOUR","1.12"," ","(190)","1.101"," ","(123)","1.111"," ","(99)","1.093"," ","(60)","1.022"," ","(9)","0.981","*","(2)","0.962","*","(2)","0.975","*","(6)","0.964","*","(3)","0.953","*","(4)","0.885","*","(2)","0.857","*","(3)"
"DOtherrising","0.966","**","(1)","0.937","**","(1)","0.987","**","(9)","1.034","**","(22)","1.076","**","(30)","1.166"," ","(69)","1.229"," ","(87)","1.141"," ","(70)","1.111"," ","(57)","1.058"," ","(37)","1.003"," ","(11)","0.833","*","(2)"
