,DE.INDU,DE.SERV,DE.CONS,DE.RETA,DE.BUIL,DE.ESI,INDU.DE.TOT.2.BS.M,INDU.DE.TOT.3.BS.M,INDU.DE.TOT.4.BS.M,INDU.DE.TOT.5.BS.M,INDU.DE.TOT.6.BS.M,INDU.DE.TOT.7.BS.M,CONS.DE.TOT.COF.BS.M,CONS.DE.TOT.1.BS.M,CONS.DE.TOT.2.BS.M,CONS.DE.TOT.3.BS.M,CONS.DE.TOT.4.BS.M,CONS.DE.TOT.5.BS.M,CONS.DE.TOT.6.BS.M,CONS.DE.TOT.7.BS.M,CONS.DE.TOT.8.BS.M,CONS.DE.TOT.9.BS.M,CONS.DE.TOT.10.BS.M,CONS.DE.TOT.11.BS.M,CONS.DE.TOT.12.BS.M
,Industrial confidence indicator (40%),Services confidence indicator (30%),Consumer confidence indicator (20%),Retail trade confidence indicator (5%),Construction confidence indicator (5%),Economic sentiment indicator (average),Assessment of order-book levels                               ,Assessment of export order-book levels                        ,Assessment of stocks of finished products                     ,Production expectations for the months ahead                  ,Selling price expectations for the months ahead               ,Employment expectations for the months ahead                  ,Confidence Indicator (Q2 + Q4 - Q7 + Q11) / 4                               ,Financial situation over last 12 months,Financial situation over next 12 months,General economic situation over last 12 months,General economic situation over next 12 months,Price trends over last 12 months,Price trends over next 12 months,Unemployment expectations over next 12 months,Major purchases at present,Major purchases over next 12 months,Savings at present,Savings over next 12 months,Statement on financial situation of household
,ESI-INDU,ESI-SERV,ESI-C,ESI-TRADE,ESI-CTR,ESI,ECBS2,ECBS3,ECBS4,ECBS5,ECBS6,ECBS7,ECCS99,ECCS1,ECCS2,ECCS3,ECCS4,ECCS5,ECCS6,ECCS7,ECCS8,ECCS9,ECCS10,ECCS11,ECCS12
1990-01,8.2,,0,6.5,-2.2,116.2,10.2,0,-1.8,12.5,17.9,7.8,0,2.4,3.1,12.3,5.3,23.6,31.3,27.4,2,-13.6,44.4,19,20.3
1990-02,7.7,,-4,6.3,2.2,114.9,10.9,1.1,-0.8,11.2,14.6,8.1,-4,3.9,3.3,11.1,2.7,22.8,33.4,38.8,1.2,-15.2,46.7,16.7,20.1
1990-03,9.4,,-4.7,5.2,0.3,115.9,12,-0.9,-4.7,11.5,12.3,4.5,-4.7,3.7,1.1,6.1,-4.1,23.5,40.8,36.4,-2.4,-14.4,48.1,20.6,20.8
1990-04,9.7,,0.9,9,-0.9,117.5,12.5,-0.6,-3.5,13.2,16,4.6,0.9,2.9,2.4,10.6,0.4,17.9,41.1,18.4,-0.8,-14.3,46.1,19.3,21.1
1990-05,8.8,,1.1,10.2,-3.5,117.3,12.2,-1.3,-4.3,9.8,14.5,4.7,1.1,4.2,3,10.9,1.1,18.9,42.7,20.4,1.5,-15.7,45.7,20.5,20.6
1990-06,8.1,,0.5,18.8,-2.4,116.9,10.8,-3.2,-2.5,10.9,13.6,6.4,0.5,3.1,2.6,10.2,-0.4,20.7,42.4,18,-4,-14.7,44.8,17.6,19
1990-07,10.6,,3.3,13.9,-4.6,119.1,14.4,-4.1,-4.4,13.1,12,6.6,3.3,3,2.7,12.2,5,18.8,40.8,16.4,-2,-15.4,48.8,22,22.2
1990-08,10,,0.7,18.1,-2.4,119.2,12.4,-6.4,-7.6,10.1,13.4,6.7,0.7,3.7,2.7,10.3,2.6,19.2,42.8,25.7,-1.5,-14.9,50.4,23.4,21.5
