,Ifo index climate,Ifo expectations-climate,Ifo index manufacturing,Ifo expectations-manufacturing,Ifo index capital goods,Ifo expectations-capital goods,Ifo index intermediate goods ,Ifo expectations-intermediate goods ,Ifo index wholesale,Ifo expectations-intermediate goods
,IFO-C,IFO-EXP,IFOM-C,IFOM-EXP,IFOMI-C,IFOMI-EXP,IFOMV-C,IFOMV-EXP,IFOWH-C,IFOWH-EXP
1991-01,12.7,1.9,11.05,-3.03,3.53,-16.3,9.49,-0.43,17.2,8.07
1991-02,12,1.3,11.1,-2.82,4.8,-16.6,10.42,0.63,15.77,8.12
1991-03,10.1,-0.2,7.64,-4.11,5.75,-9.65,4.31,-3.31,12.09,3.64
1991-04,9.3,0.9,7.59,-1.05,5.52,-6.48,3.01,-2.68,11.61,-2.77
1991-05,7,-0.4,5.79,-2.88,5.24,-7.49,-0.93,-4.43,12.38,4.31
1991-06,6,-2.4,3.68,-3.44,2.38,-11.56,-1.09,-3.24,7.77,-8.8
1991-07,4.1,-1.5,1.37,-3.94,2.12,-10.3,-5.07,-4.61,6.86,0.26
1991-08,2.4,-1.3,2.22,-1.25,2.81,-7.86,-3.92,-2.8,3.21,-2.71
1991-09,2.5,-1.2,1.61,-2.6,2.54,-9.67,-4.96,-3.02,6.24,-1.38
1991-10,4.1,0.9,2.41,0.03,3.83,-6.91,-2.57,0.26,5.81,0.17
1991-11,3.3,0.8,2.99,0.16,5.37,-4.72,-1.53,0.59,3.05,-0.09
1991-12,1.6,-1.3,0.29,-3.03,5.08,-5.44,-5.08,-3.89,3.9,-0.83
1992-01,-1.1,-3.3,-2.27,-5.02,1.55,-7.19,-10.03,-7.49,-2.84,-3.93
1992-02,-3,-5.4,-3.15,-5.88,1.2,-6.78,-9.59,-9.32,-7.37,-9.88
1992-03,-4.9,-5.5,-2.78,-3.16,2.88,-3.65,-9.26,-6.48,-6.31,-8.36
1992-04,-6.6,-7.8,-4.28,-5.1,-0.49,-5.58,-8.21,-5.66,-9.22,-11.77
1992-05,-7.3,-5.7,-5.4,-2.88,-0.8,-4.49,-9.28,-3.44,-10.77,-11.69
1992-06,-8.7,-6.5,-7.8,-6.36,-4.16,-8.44,-13.35,-7.18,-7.24,-3.8
1992-07,-11.3,-8.4,-11.06,-7.9,-9.53,-14.28,-13.29,-3.57,-12.56,-9.74
1992-08,-17.5,-17,-17.37,-17.23,-16.76,-22.77,-21.89,-17.76,-18.18,-19.71
1992-09,-19.7,-19.8,-22.83,-23.62,-25.56,-33.75,-27.22,-22.01,-18.78,-17.38
