,name,id,L,D,D.ln,D2ln,lag,code,Source
M1,,23,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
M2,,25,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
M3,,27,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
M1R,,24,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
M2R,,26,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
M3R,,28,,,,,,no consistent data available. see original papar of drechsel and scheufle 2012.,Buba
PMI,,52,,,,,,only available since 2005 and until 2013,datastream
SPR-B-A,,12,,,,,,no access to Merrill Lynch data,ML
SPR-HY-A,,13,,,,,,no access to Merrill Lynch data,ML
SPR-B-G,,14,,,,,,no access to Merrill Lynch data,Buba/ML
SPR-BF-G,,15,,,,,,no access to Merrill Lynch data,Buba/ML
SPR-HY-G,,16,,,,,,no access to Merrill Lynch data,Buba/ML
SPR-A-G,,17,,,,,,no access to Merrill Lynch data,Buba/ML
COM,,92,,,,,,no access to Commerzbank indicator,Com
IFO-WC,,37,,,,,,quarterly,ifo
IFO-WEXP,,38,,,,,,quarterly,ifo
PBIP,,81,,,,,,quarterly,Buba
ORD,Manufacturing orders,83,,,,,,M.DE.Y.I.IO1.ABA20.C.I no vints starting 2005,Buba RTDB
